Umsatz im Gastgewerbe nach ausgewählten Wirtschaftszweigen, nominal
Datum;Hotels, Gasthöfe und Pensionen, Messzahlen 2015=100;Ferienunterkünfte und ähnliche Beherbergungsstätten, Messzahlen 2015=100;Restaurants, Gaststätten, Imbissstuben, Cafes und Ähnliches, Messzahlen 2015=100;Caterer und sonstige Verpflegungsdienstleistungen, Messzahlen 2015=100;Ausschank von Getränken, Messzahlen 2015=100
01/03/2000;79,1;65,3;111,8;80,7;138,7
01/04/2000;79,9;83,2;119,9;72,0;139,5
01/05/2000;101,3;100,2;126,3;82,8;141,8
01/06/2000;97,7;117,6;125,9;77,3;150,3
01/07/2000;93,5;136,2;126,4;77,4;142,7
01/08/2000;96,6;140,1;126,4;74,8;138,4
01/09/2000;111,6;121,4;124,2;84,2;136,7
01/10/2000;102,1;99,1;121,0;80,1;138,9
01/11/2000;81,0;56,4;108,3;80,5;128,5
01/12/2000;83,7;61,8;124,5;79,4;149,8
01/01/2001;70,5;58,6;101,3;73,3;127,3
01/02/2001;70,4;61,3;100,4;72,3;129,2
01/03/2001;82,5;63,5;112,0;80,6;140,3
01/04/2001;81,9;85,5;117,2;74,3;137,1
01/05/2001;100,5;98,8;128,5;81,4;145,2
01/06/2001;96,4;116,1;126,4;79,5;142,6
01/07/2001;94,3;141,4;129,6;79,8;147,8
01/08/2001;96,5;141,2;130,6;77,9;139,7
01/09/2001;105,8;115,1;121,5;81,7;138,2
01/10/2001;100,3;100,6;124,3;79,6;144,9
01/11/2001;81,6;53,2;112,4;78,7;139,3
01/12/2001;82,3;58,0;128,0;74,1;157,3
01/01/2002;69,8;56,5;100,1;70,6;127,9
01/02/2002;71,3;58,1;96,9;70,9;125,4
01/03/2002;79,9;72,5;112,7;75,0;139,6
01/04/2002;84,3;76,8;111,9;77,9;134,5
01/05/2002;93,7;106,0;123,2;73,6;142,2
01/06/2002;94,0;113,8;116,6;76,7;137,1
01/07/2002;91,0;142,1;119,9;76,5;130,5
01/08/2002;93,4;139,8;121,0;72,3;137,1
01/09/2002;104,1;116,4;115,3;78,1;131,8
01/10/2002;94,8;99,3;109,8;76,9;137,7
01/11/2002;76,8;53,6;99,6;76,0;130,2
01/12/2002;76,2;57,6;112,4;72,7;143,9
01/01/2003;63,5;56,5;91,0;69,5;128,7
01/02/2003;65,7;61,6;89,3;69,6;124,9
01/03/2003;74,6;71,6;101,5;73,6;136,5
01/04/2003;74,6;75,6;102,2;72,0;135,5
01/05/2003;91,0;95,4;112,7;73,3;144,8
01/06/2003;87,5;109,2;109,5;74,5;140,6
01/07/2003;82,8;121,7;112,0;77,4;136,1
01/08/2003;85,3;122,7;114,0;70,8;141,5
01/09/2003;96,8;104,4;107,4;80,1;138,4
01/10/2003;92,2;97,6;104,4;78,5;142,2
01/11/2003;74,0;60,1;96,1;75,0;132,6
01/12/2003;75,6;74,9;108,0;74,6;147,6
01/01/2004;60,9;57,6;87,9;68,0;124,2
01/02/2004;66,6;65,1;88,8;69,5;121,8
01/03/2004;75,6;79,3;94,0;77,4;124,3
01/04/2004;77,3;85,4;100,5;73,6;129,7
01/05/2004;94,2;96,9;108,2;76,8;137,7
01/06/2004;87,0;110,3;101,3;76,4;128,8
01/07/2004;85,1;121,9;107,9;77,5;133,8
01/08/2004;85,9;122,6;108,2;70,6;130,7
01/09/2004;99,5;110,1;103,9;80,1;128,4
01/10/2004;92,9;94,1;102,8;78,6;134,0
01/11/2004;73,9;66,2;92,5;77,0;123,3
01/12/2004;74,9;65,1;105,2;77,3;142,1
01/01/2005;63,9;59,1;86,8;70,1;117,5
01/02/2005;65,1;62,4;81,5;71,2;112,3
01/03/2005;73,2;76,1;94,0;75,1;121,7
01/04/2005;80,3;77,9;97,5;77,8;124,2
01/05/2005;89,9;101,2;105,6;75,6;130,7
01/06/2005;88,9;105,3;101,3;83,3;121,3
01/07/2005;85,3;130,5;108,6;76,4;128,8
01/08/2005;88,3;128,1;106,0;74,3;127,5
01/09/2005;102,2;110,8;104,4;85,6;126,1
01/10/2005;94,2;98,3;103,1;78,4;129,3
01/11/2005;74,3;66,3;90,3;79,8;115,6
01/12/2005;77,5;65,3;104,0;81,8;139,8
01/01/2006;64,3;58,5;84,1;71,8;112,9
01/02/2006;65,6;60,2;81,1;71,8;113,0
01/03/2006;75,6;66,0;89,0;80,1;118,0
01/04/2006;78,0;80,2;97,8;76,4;123,7
01/05/2006;96,8;100,1;103,1;83,4;126,6
01/06/2006;97,0;109,1;102,0;80,5;129,0
01/07/2006;92,6;131,9;108,8;81,0;124,8
01/08/2006;88,8;134,6;104,2;76,9;123,2
01/09/2006;107,8;118,5;105,5;88,9;128,3
01/10/2006;97,2;98,3;101,6;81,5;127,4
01/11/2006;78,6;59,6;91,4;82,4;117,5
01/12/2006;82,3;64,4;106,8;82,3;144,2
01/01/2007;64,5;54,3;81,8;74,8;103,8
01/02/2007;67,1;57,2;80,6;73,6;107,5
