Beschäftigte im Großhandel nach ausgewählten Wirtschaftszweigen
Datum;Grosshandel mit Nahrungs-, Genuss­mitteln, Getränken und Tabak­waren, Messzahlen 2015=100;Grosshandel mit Gebrauchs- und Verbrauchs­gütern, Messzahlen 2015=100;Grosshandel mit Geräten der Informations- und Kommunikations­technik, Messzahlen 2015=100;Grosshandel mit sonstigen Maschinen, Aus­rüstungen und Zubehör, Messzahlen 2015=100;Sonstiger Grosshandel, Messzahlen 2015=100;Grosshandel ohne ausgeprägten Schwerpunkt, Messzahlen 2015=100
01/03/2005;110,3;103,5;91,8;82,7;93,2;96,4
01/04/2005;110,1;103,2;91,5;82,1;92,5;96,7
01/05/2005;111,5;103,1;91,4;82,5;92,3;96,3
01/06/2005;111,4;103,3;91,2;82,7;92,3;96,7
01/07/2005;111,0;103,2;91,3;82,1;92,2;96,6
01/08/2005;112,4;103,7;91,8;82,6;92,4;97,4
01/09/2005;112,2;103,3;91,4;82,8;93,1;98,1
01/10/2005;111,2;103,3;91,8;82,9;93,0;97,9
01/11/2005;111,3;103,3;91,6;82,7;92,7;97,0
01/12/2005;110,2;103,4;91,2;82,8;92,2;96,9
01/01/2006;109,6;102,5;90,1;82,2;91,6;95,6
01/02/2006;109,0;102,1;90,4;82,2;91,7;95,1
01/03/2006;108,6;102,9;90,4;82,5;91,9;95,6
01/04/2006;109,1;102,3;90,2;83,3;92,3;95,4
01/05/2006;109,5;102,3;89,8;83,4;92,8;95,6
01/06/2006;110,2;102,6;89,5;83,9;92,8;95,4
01/07/2006;110,7;103,2;89,6;84,3;93,1;95,1
01/08/2006;110,4;103,7;89,8;84,8;94,0;95,9
01/09/2006;111,1;103,7;90,4;85,4;93,9;96,4
01/10/2006;110,8;103,5;90,4;85,7;93,6;97,3
01/11/2006;110,7;103,9;91,2;85,9;93,4;96,9
01/12/2006;110,4;103,2;91,3;85,6;93,0;96,9
01/01/2007;105,9;102,9;93,3;86,9;92,5;96,0
01/02/2007;105,5;103,0;93,2;87,0;92,7;96,1
01/03/2007;105,2;103,2;93,1;87,2;93,0;96,2
01/04/2007;105,6;103,0;109,6;87,6;93,4;95,6
01/05/2007;105,8;102,6;109,5;87,8;93,4;96,1
01/06/2007;105,8;103,4;109,5;88,6;93,4;96,1
01/07/2007;106,8;103,9;109,5;88,5;94,0;96,0
01/08/2007;107,5;104,7;110,5;89,2;94,7;97,0
01/09/2007;106,8;105,1;109,5;90,2;95,2;97,4
01/10/2007;105,5;103,9;110,3;90,0;95,4;97,8
01/11/2007;105,4;104,7;111,2;90,4;95,2;97,9
01/12/2007;105,1;105,0;111,5;90,1;95,0;96,8
01/01/2008;102,8;104,2;107,7;91,7;94,1;95,8
01/02/2008;103,1;103,9;107,5;92,1;94,0;95,9
01/03/2008;104,2;104,1;107,4;92,4;94,4;95,6
01/04/2008;104,1;104,1;106,6;92,6;94,9;95,1
01/05/2008;104,8;104,0;106,4;92,2;95,1;95,2
01/06/2008;105,0;104,2;106,2;92,5;95,2;95,1
01/07/2008;105,7;104,4;106,2;92,5;95,4;94,8
01/08/2008;104,6;105,1;106,5;92,4;96,3;95,5
01/09/2008;106,4;105,2;106,5;92,5;97,0;96,1
01/10/2008;105,8;104,9;106,9;92,5;96,7;96,3
01/11/2008;106,0;104,7;107,2;92,5;96,6;96,0
01/12/2008;106,1;104,0;106,1;92,3;96,2;95,8
01/01/2009;97,8;98,9;98,8;91,6;93,9;93,7
01/02/2009;97,2;98,6;98,5;91,5;93,3;94,0
01/03/2009;97,2;98,4;97,7;91,3;93,2;93,5
01/04/2009;97,4;98,5;96,8;90,2;92,8;93,7
01/05/2009;98,1;98,4;96,3;90,6;92,8;93,7
01/06/2009;98,4;98,1;95,9;90,5;92,4;93,1
01/07/2009;98,8;97,8;95,1;89,9;91,8;92,8
01/08/2009;98,8;98,3;95,7;89,6;92,4;93,3
01/09/2009;99,2;98,2;96,0;89,5;92,7;94,6
01/10/2009;98,8;97,7;95,8;88,8;92,6;94,5
01/11/2009;98,8;97,6;95,8;88,8;92,5;94,7
01/12/2009;98,6;97,5;95,5;88,1;92,0;95,0
01/01/2010;97,8;97,4;95,6;85,9;90,7;94,9
01/02/2010;97,8;97,1;95,6;86,1;90,6;94,4
01/03/2010;98,3;97,6;96,2;86,2;91,1;94,7
01/04/2010;98,6;97,3;96,2;86,2;91,7;95,1
01/05/2010;98,6;97,2;96,6;86,5;91,4;95,1
01/06/2010;98,7;97,8;96,7;88,4;91,8;95,3
01/07/2010;98,8;98,0;96,7;88,9;92,1;95,0
01/08/2010;99,3;98,4;98,3;89,3;92,9;95,5
01/09/2010;99,5;98,8;99,1;89,9;93,4;95,9
