Umsatz im Großhandel nach ausgewählten Wirtschaftszweigen, nominal
Datum;Grosshandel mit Nahrungs-, Genuss­mitteln, Getränken und Tabak­waren, Messzahlen 2015=100;Grosshandel mit Gebrauchs- und Verbrauchs­gütern, Messzahlen 2015=100;Grosshandel mit Geräten der Informations- und Kommunikations­technik, Messzahlen 2015=100;Grosshandel mit sonstigen Maschinen, Aus­rüstungen und Zubehör, Messzahlen 2015=100;Sonstiger Grosshandel, Messzahlen 2015=100;Grosshandel ohne ausgeprägten Schwerpunkt, Messzahlen 2015=100
01/03/2005;92,2;91,4;82,6;95,6;86,7;73,9
01/04/2005;86,4;86,0;70,7;86,1;92,3;72,3
01/05/2005;91,5;79,1;68,0;87,7;89,4;72,1
01/06/2005;93,9;87,2;72,4;94,1;94,2;71,2
01/07/2005;85,9;81,4;66,2;82,8;91,9;65,7
01/08/2005;90,2;86,8;70,0;77,0;96,5;71,2
01/09/2005;90,8;96,4;85,4;87,7;101,7;71,6
01/10/2005;86,2;94,9;83,5;84,2;97,4;69,0
01/11/2005;91,5;98,4;98,3;91,8;97,9;76,2
01/12/2005;100,9;91,2;94,6;110,2;84,9;77,9
01/01/2006;77,5;86,0;73,4;72,9;85,7;56,7
01/02/2006;78,9;83,6;74,3;80,0;85,1;62,8
01/03/2006;93,6;98,6;92,7;94,9;102,3;79,7
01/04/2006;87,0;82,7;67,4;80,8;94,9;71,7
01/05/2006;97,6;88,6;71,4;91,3;108,7;80,1
01/06/2006;95,1;86,8;71,3;95,2;105,1;74,9
01/07/2006;90,5;82,1;64,6;85,8;105,6;68,8
01/08/2006;91,5;89,2;74,0;86,8;110,0;75,6
01/09/2006;88,9;96,7;87,8;94,8;110,9;74,9
01/10/2006;90,6;97,6;88,3;92,4;110,8;78,5
01/11/2006;93,5;105,1;102,0;102,6;108,0;80,2
01/12/2006;98,2;95,9;89,4;109,2;96,6;84,8
01/01/2007;78,1;88,6;79,8;83,4;90,6;63,8
01/02/2007;76,0;85,2;76,2;88,8;90,1;66,8
01/03/2007;90,4;98,1;92,6;107,7;107,3;81,4
01/04/2007;88,3;85,7;80,5;92,2;99,5;76,9
01/05/2007;93,5;89,1;80,2;96,9;104,4;78,6
01/06/2007;88,2;89,8;84,6;103,7;105,3;73,0
01/07/2007;89,6;91,9;82,4;104,9;106,3;69,1
01/08/2007;91,5;94,0;91,2;93,6;104,6;74,0
01/09/2007;84,1;97,6;94,5;99,4;104,4;76,3
01/10/2007;94,1;106,5;104,1;104,3;113,9;84,4
