Umsatz im Großhandel nach ausgewählten Wirtschaftszweigen, preisbereinigt (real)
Datum;Grosshandel mit Nahrungs-, Genuss­mitteln, Getränken und Tabak­waren, Messzahlen 2015=100;Grosshandel mit Gebrauchs- und Verbrauchs­gütern, Messzahlen 2015=100;Grosshandel mit Geräten der Informations- und Kommunikations­technik, Messzahlen 2015=100;Grosshandel mit sonstigen Maschinen, Aus­rüstungen und Zubehör, Messzahlen 2015=100;Sonstiger Grosshandel, Messzahlen 2015=100;Grosshandel ohne ausgeprägten Schwerpunkt, Messzahlen 2015=100
01/03/2005;118,3;98,7;45,4;121,3;104,3;92,5
01/04/2005;112,6;92,9;39,8;108,5;108,3;90,6
01/05/2005;118,9;85,4;38,7;110,5;107,7;90,4
01/06/2005;122,9;94,1;41,4;118,4;111,6;89,4
01/07/2005;112,8;87,8;37,6;104,2;107,0;82,6
01/08/2005;119,1;93,5;40,3;96,6;111,7;89,7
01/09/2005;118,5;103,8;49,1;110,4;113,6;89,4
01/10/2005;112,7;101,9;48,0;105,5;108,9;86,1
01/11/2005;119,2;105,5;56,5;114,7;112,6;94,7
01/12/2005;130,6;97,8;55,0;137,8;97,9;96,6
01/01/2006;99,6;92,1;43,0;90,4;98,0;69,8
01/02/2006;100,4;89,3;44,0;98,0;96,6;77,0
01/03/2006;119,7;105,4;55,4;115,8;114,9;97,6
01/04/2006;110,5;88,5;40,5;98,3;104,4;87,3
01/05/2006;123,8;94,5;43,1;111,0;118,1;97,3
01/06/2006;120,3;92,4;43,8;115,5;112,9;90,9
01/07/2006;114,9;88,9;40,4;104,2;112,6;84,0
01/08/2006;115,8;96,3;47,1;104,8;116,1;91,7
01/09/2006;111,9;104,2;55,9;114,6;119,8;89,9
01/10/2006;114,0;105,1;56,2;111,3;120,8;93,4
01/11/2006;116,9;113,1;66,0;123,6;118,1;95,1
01/12/2006;123,0;103,1;58,6;131,6;106,1;100,3
01/01/2007;96,7;95,4;52,3;98,9;99,5;75,6
01/02/2007;94,0;91,9;50,7;105,6;98,2;78,9
01/03/2007;112,2;105,8;62,0;127,7;115,3;95,4
01/04/2007;108,4;92,3;54,0;109,0;105,2;89,8
01/05/2007;115,9;95,7;55,0;114,5;109,2;91,7
01/06/2007;109,2;96,5;58,9;122,0;110,1;85,2
01/07/2007;110,7;98,6;58,7;123,5;110,9;79,9
01/08/2007;111,9;100,9;65,6;109,8;109,9;84,2
01/09/2007;101,8;104,9;68,7;116,2;109,3;85,3
01/10/2007;112,2;114,1;77,2;120,2;118,8;93,3
01/11/2007;110,3;115,8;81,5;122,2;114,3;93,3
01/12/2007;112,1;97,9;71,3;128,6;97,1;91,7
01/01/2008;102,5;102,7;71,5;104,6;107,1;77,6
01/02/2008;100,4;100,3;67,2;112,1;110,6;82,9
01/03/2008;108,1;98,1;66,4;117,3;109,8;88,9
01/04/2008;115,5;105,7;68,0;122,9;121,6;93,7
01/05/2008;115,9;93,7;62,5;110,6;113,2;90,3
01/06/2008;111,7;99,3;67,5;125,9;118,4;87,1
01/07/2008;115,0;101,1;66,6;123,7;118,4;87,1
01/08/2008;105,5;93,6;67,5;101,1;110,5;85,1
01/09/2008;111,7;113,4;82,7;129,5;123,1;96,3
01/10/2008;114,8;114,8;83,3;113,1;119,4;96,0
01/11/2008;108,0;108,1;82,4;104,0;104,3;90,3
01/12/2008;125,4;104,6;82,0;112,5;89,3;99,0
01/01/2009;92,6;89,2;66,5;76,4;87,6;73,6
01/02/2009;91,2;87,1;61,8;80,7;89,4;74,4
01/03/2009;105,4;96,8;70,5;97,4;103,5;89,0
01/04/2009;110,4;87,6;59,9;80,1;97,3;88,4
01/05/2009;105,4;82,7;57,3;78,1;92,4;81,9
01/06/2009;105,2;86,1;65,7;87,3;97,0;84,5
01/07/2009;107,6;90,7;67,5;85,7;102,4;85,2
01/08/2009;99,4;86,0;66,5;80,2;92,6;83,1
01/09/2009;101,2;101,8;81,0;89,1;105,1;91,4
01/10/2009;102,2;102,8;85,1;97,0;106,3;90,3
01/11/2009;102,4;102,3;94,5;95,3;98,9;91,8
01/12/2009;115,4;95,0;91,9;96,7;85,5;102,2
01/01/2010;88,7;87,6;72,7;65,6;82,0;68,1
01/02/2010;90,3;88,7;74,2;74,6;87,8;73,6
01/03/2010;113,1;105,7;87,8;100,4;110,9;97,9
01/04/2010;101,0;90,0;71,8;88,3;104,6;89,6
01/05/2010;105,7;87,2;76,0;92,0;103,2;90,0
01/06/2010;109,3;95,8;86,3;109,0;111,3;94,3
01/07/2010;107,5;91,1;73,8;97,6;108,4;89,2
01/08/2010;101,9;93,2;76,8;93,9;105,1;88,0
01/09/2010;104,8;109,0;94,1;102,3;113,6;94,2
01/10/2010;102,1;105,4;88,0;98,1;111,8;93,0
01/11/2010;107,2;108,2;98,7;111,5;111,0;97,6
01/12/2010;114,5;99,5;99,2;115,9;90,7;102,6
01/01/2011;85,4;91,6;83,0;80,7;94,1;71,6
01/02/2011;89,3;92,2;77,3;90,5;98,4;81,2
01/03/2011;107,7;107,1;94,0;110,3;115,8;98,8
01/04/2011;103,9;90,3;73,3;95,1;103,2;93,0
01/05/2011;107,4;97,9;77,0;110,3;114,5;96,8
01/06/2011;104,5;89,9;83,9;110,4;103,0;89,2
01/07/2011;99,3;93,9;77,3;97,5;109,5;88,1
01/08/2011;103,7;98,6;79,0;97,6;111,8;95,6
01/09/2011;105,8;109,2;101,8;106,9;114,3;99,5
01/10/2011;101,1;102,5;91,8;100,5;111,0;91,5
01/11/2011;103,1;110,2;100,7;113,4;112,6;101,0
01/12/2011;109,5;99,6;102,8;114,4;92,7;101,3
01/01/2012;87,4;94,5;86,1;85,0;95,1;79,2
01/02/2012;91,6;94,0;78,9;94,4;99,0;87,9
01/03/2012;104,9;104,0;93,8;111,6;111,5;101,2
01/04/2012;96,7;89,6;79,0;92,8;100,9;92,1
01/05/2012;106,5;93,2;81,0;97,3;106,2;97,7
01/06/2012;100,2;93,5;87,9;102,8;109,3;95,1
01/07/2012;99,6;94,4;84,7;98,4;109,7;91,7
01/08/2012;104,7;95,5;84,4;95,1;106,9;97,8
