Umsatz im Großhandel, nominal
Datum;Originalwert, Messzahlen 2015=100;Originalwert, Veränderung gegenüber Vorjahresmonat in %;Saison- und kalenderbereinigte Werte nach X 13 JDemetra+, Messzahlen 2015=100;Saison- und kalenderbereinigte Werte nach X 13 JDemetra+, Veränderung gegenüber Vorsmonat in %
01/03/1997;73,2;.;75,2;0,3
01/04/1997;80,7;.;75,9;0,9
01/05/1997;72,4;.;75,6;-0,4
01/06/1997;78,7;.;76,2;0,8
01/07/1997;77,5;.;76,2;0,0
01/08/1997;70,8;.;75,8;-0,5
01/09/1997;80,8;.;75,7;-0,1
01/10/1997;83,6;.;76,8;1,5
01/11/1997;76,0;.;74,2;-3,4
01/12/1997;75,3;.;76,2;2,7
01/01/1998;69,2;-0,3;78,5;3,0
01/02/1998;70,1;3,9;77,9;-0,8
01/03/1998;83,3;13,8;78,6;0,9
01/04/1998;77,4;-4,1;76,6;-2,5
01/05/1998;74,3;2,6;75,9;-0,9
01/06/1998;76,4;-2,9;75,7;-0,3
01/07/1998;76,4;-1,4;75,0;-0,9
01/08/1998;70,6;-0,3;74,9;-0,1
01/09/1998;79,3;-1,9;74,3;-0,8
01/10/1998;78,4;-6,2;71,8;-3,4
01/11/1998;76,8;1,1;72,7;1,3
01/12/1998;75,4;0,1;74,7;2,8
01/01/1999;62,3;-10,0;73,0;-2,3
01/02/1999;64,9;-7,4;72,2;-1,1
01/03/1999;82,9;-0,5;74,7;3,5
01/04/1999;72,8;-5,9;72,9;-2,4
01/05/1999;71,6;-3,6;73,2;0,4
01/06/1999;76,9;0,7;73,8;0,8
01/07/1999;74,4;-2,6;75,4;2,2
01/08/1999;73,9;4,7;75,7;0,4
01/09/1999;81,1;2,3;76,1;0,5
01/10/1999;79,6;1,5;75,4;-0,9
01/11/1999;83,5;8,7;78,4;4,0
01/12/1999;81,5;8,1;79,0;0,8
01/01/2000;65,4;5,0;74,1;-6,2
01/02/2000;74,4;14,6;79,1;6,7
01/03/2000;84,2;1,6;78,1;-1,3
01/04/2000;75,6;3,8;79,5;1,8
01/05/2000;87,1;21,6;80,8;1,6
