Index der Großhandelsverkaufspreise
Datum;Originalwert, 2021=100;Originalwert, Veränderung gegenüber Vorjahresmonat in %;Trend-Konjunktur-Komponente (BV 4.1), 2021=100;Trend-Konjunktur-Komponente (BV 4.1), Veränderung gegenüber Vormonat in %;Kalender- und saisonbereinigte Werte (BV 4.1), 2021=100;Kalender- und saisonbereinigte Werte (BV 4.1), Veränderung gegenüber Vormonat in %;Restkomponente (BV 4.1)
01/03/1997;70,4;.;70,3;0,2;70,2;0,3;-0,2
01/04/1997;70,5;.;70,4;0,2;70,2;0,1;-0,2
01/05/1997;71,1;.;70,5;0,2;70,6;0,5;0,0
01/06/1997;70,8;.;70,7;0,1;70,5;-0,1;-0,1
01/07/1997;70,2;.;70,8;0,2;70,3;-0,3;-0,4
01/08/1997;70,7;.;70,8;0,1;70,9;0,8;0,0
01/09/1997;70,8;.;70,8;-0,0;71,0;0,1;0,1
01/10/1997;70,5;.;70,8;-0,1;70,9;-0,0;0,1
01/11/1997;70,2;.;70,7;-0,1;70,7;-0,3;0,0
01/12/1997;70,5;.;70,5;-0,2;70,6;-0,1;0,1
01/01/1998;70,5;0,9;70,4;-0,2;70,4;-0,3;0,0
01/02/1998;70,4;0,6;70,2;-0,2;70,3;-0,1;0,1
01/03/1998;70,2;-0,3;70,0;-0,3;70,0;-0,5;-0,0
01/04/1998;70,1;-0,6;69,7;-0,4;69,7;-0,3;0,0
01/05/1998;69,9;-1,7;69,5;-0,4;69,4;-0,4;-0,0
01/06/1998;69,5;-1,8;69,2;-0,4;69,2;-0,3;0,1
01/07/1998;69,1;-1,6;68,9;-0,4;69,1;-0,2;0,2
01/08/1998;68,4;-3,3;68,6;-0,4;68,6;-0,8;-0,1
01/09/1998;68,1;-3,8;68,4;-0,4;68,3;-0,4;-0,1
01/10/1998;67,6;-4,1;68,2;-0,3;68,1;-0,3;-0,1
01/11/1998;67,4;-4,0;68,0;-0,3;67,9;-0,3;-0,1
01/12/1998;67,6;-4,1;67,9;-0,2;67,7;-0,3;-0,2
01/01/1999;67,8;-3,8;67,8;-0,1;67,7;-0,0;-0,1
01/02/1999;67,6;-4,0;67,7;-0,1;67,5;-0,3;-0,2
01/03/1999;68,0;-3,1;67,8;0,0;67,7;0,2;-0,1
01/04/1999;68,3;-2,6;67,9;0,1;68,0;0,5;0,1
01/05/1999;68,3;-2,3;68,0;0,2;68,0;0,0;0,0
01/06/1999;68,3;-1,7;68,2;0,3;68,1;0,2;-0,0
