ILO-Arbeitsmarktstatistik
Datum;Erwerbslosenquoten insgesamt, in %;Erwerbslosenquoten unter 25 Jahren, in %;Erwerbslosenquoten ab 25 Jahren, in %
01/03/2007;9,2;10,9;8,9
01/04/2007;8,6;12,2;8,2
01/05/2007;8,5;11,1;8,2
01/06/2007;8,3;12,7;7,8
01/07/2007;8,3;11,9;7,9
01/08/2007;8,4;13,6;7,7
01/09/2007;8,1;11,7;7,6
01/10/2007;7,8;10,2;7,4
01/11/2007;8,2;10,8;7,8
01/12/2007;8,2;11,2;7,8
01/01/2008;8,2;10,5;7,9
01/02/2008;8,1;10,9;7,7
01/03/2008;8,0;10,2;7,7
01/04/2008;7,9;10,6;7,6
01/05/2008;7,3;10,2;6,9
01/06/2008;7,8;11,4;7,4
01/07/2008;7,4;12,0;6,8
01/08/2008;7,2;12,0;6,5
01/09/2008;6,6;8,9;6,2
01/10/2008;6,4;8,6;6,1
01/11/2008;6,8;9,5;6,5
01/12/2008;7,4;10,2;7,1
01/01/2009;7,3;10,1;6,9
01/02/2009;7,9;12,0;7,4
01/03/2009;7,7;13,2;6,9
01/04/2009;7,6;12,6;6,9
01/05/2009;7,3;12,0;6,7
01/06/2009;7,3;12,4;6,7
01/07/2009;7,5;13,0;6,8
01/08/2009;7,6;13,5;6,8
01/09/2009;7,2;12,3;6,5
01/10/2009;6,8;10,6;6,3
01/11/2009;6,9;11,2;6,3
01/12/2009;7,0;10,4;6,6
01/01/2010;7,6;12,0;7,0
01/02/2010;7,6;12,0;7,1
01/03/2010;7,2;11,5;6,7
01/04/2010;6,8;11,3;6,3
01/05/2010;6,5;9,3;6,2
01/06/2010;6,3;10,1;5,9
01/07/2010;6,5;11,4;5,9
01/08/2010;6,2;11,8;5,5
01/09/2010;6,1;9,7;5,7
01/10/2010;6,1;9,2;5,8
01/11/2010;5,9;8,9;5,6
01/12/2010;6,1;8,4;5,8
01/01/2011;6,4;9,1;6,1
01/02/2011;6,2;10,3;5,7
01/03/2011;6,1;10,1;5,6
01/04/2011;5,5;8,3;5,1
01/05/2011;5,4;8,7;4,9
01/06/2011;5,6;10,3;5,0
01/07/2011;5,6;10,9;5,0
01/08/2011;5,6;10,4;5,0
01/09/2011;4,9;7,8;4,5
01/10/2011;4,8;7,1;4,5
01/11/2011;5,1;8,5;4,7
01/12/2011;5,1;7,7;4,7
01/01/2012;5,9;8,4;5,6
01/02/2012;5,5;9,3;5,1
01/03/2012;5,1;7,4;4,8
01/04/2012;4,9;8,4;4,5
01/05/2012;5,2;8,5;4,8
01/06/2012;4,9;8,6;4,5
01/07/2012;5,3;10,1;4,8
01/08/2012;5,0;10,0;4,4
01/09/2012;4,7;8,9;4,2
01/10/2012;4,8;8,1;4,4
01/11/2012;4,8;7,8;4,5
01/12/2012;4,9;7,4;4,6
01/01/2013;5,5;7,8;5,2
01/02/2013;5,6;8,7;5,2
01/03/2013;5,2;8,3;4,8
01/04/2013;4,9;7,7;4,6
01/05/2013;4,8;8,3;4,4
01/06/2013;5,0;8,5;4,6
01/07/2013;4,9;10,0;4,4
01/08/2013;4,7;9,2;4,1
01/09/2013;4,7;8,3;4,3
01/10/2013;4,8;9,1;4,3
01/11/2013;4,6;6,9;4,4
01/12/2013;4,6;7,3;4,3
01/01/2014;5,2;8,6;4,8
01/02/2014;5,1;8,0;4,8
01/03/2014;5,1;8,9;4,6
01/04/2014;4,8;7,9;4,5
01/05/2014;4,5;8,1;4,1
01/06/2014;4,6;8,6;4,1
01/07/2014;4,4;10,0;3,8
01/08/2014;4,7;9,0;4,2
01/09/2014;4,6;7,9;4,2
01/10/2014;4,5;8,7;4,1
01/11/2014;4,7;6,5;4,5
01/12/2014;4,3;6,8;4,0
01/01/2015;4,6;7,4;4,3
01/02/2015;5,0;8,7;4,5
01/03/2015;4,5;7,2;4,3
01/04/2015;4,6;7,8;4,2
01/05/2015;4,3;7,4;3,9
01/06/2015;4,3;7,3;4,0
01/07/2015;4,3;8,7;3,9
01/08/2015;4,1;9,9;3,5
01/09/2015;4,0;7,8;3,6
01/10/2015;4,1;7,2;3,8
01/11/2015;4,3;6,3;4,0
01/12/2015;4,2;6,8;3,9
01/01/2016;4,1;7,7;3,7
01/02/2016;4,4;7,8;4,0
01/03/2016;4,3;7,9;3,9
01/04/2016;4,0;7,8;3,6
01/05/2016;4,0;7,7;3,6
01/06/2016;4,0;7,9;3,5
01/07/2016;4,0;8,8;3,5
01/08/2016;3,9;8,1;3,4
01/09/2016;3,5;7,1;3,1
01/10/2016;3,7;7,6;3,3
01/11/2016;3,6;6,0;3,4
01/12/2016;3,3;5,4;3,1
01/01/2017;3,8;7,3;3,4
01/02/2017;4,0;7,3;3,7
01/03/2017;3,7;7,7;3,3
01/04/2017;3,9;8,6;3,4
01/05/2017;3,4;6,0;3,1
01/06/2017;3,4;7,7;2,9
