Importe
Datum;Insgesamt, Mill. EUR;Ernährungswirtschaft zusammen, Mill. EUR;Gewerbliche Wirtschaft zusammen, Mill. EUR;Rohstoffe, Mill. EUR;Halbwaren, Mill. EUR;Fertigwaren, Mill. EUR
01/03/2000;46034;3292;40623;3155;3177;34291
01/04/2000;39965;3303;34430;2949;2708;28773
01/05/2000;47689;3702;41893;3795;3665;34434
01/06/2000;42999;3509;37628;2811;3265;31553
01/07/2000;43854;3364;38260;3638;3427;31195
01/08/2000;44302;3479;39004;3420;3291;32294
01/09/2000;44735;3339;39767;3650;4047;32069
01/10/2000;50025;3736;43665;3482;3872;36312
01/11/2000;52092;3591;45700;4484;3848;37368
01/12/2000;48371;3528;42107;4167;3468;34473
01/01/2001;46215;3608;41228;4195;3277;33756
01/02/2001;44914;3367;40284;3567;3129;33587
01/03/2001;46418;3482;41617;3542;3371;34704
01/04/2001;46695;3767;41455;4083;3267;34105
01/05/2001;46451;3819;41097;3238;3308;34551
01/06/2001;45960;3682;40627;3662;3384;33581
01/07/2001;45925;3798;40494;3855;3165;33474
01/08/2001;42593;3508;37485;2732;2936;31818
01/09/2001;42569;3318;37688;3547;2952;31190
01/10/2001;47585;3730;42237;3445;3162;35630
01/11/2001;47520;3745;42092;3373;2946;35773
01/12/2001;39927;3589;34917;3172;2516;29228
01/01/2002;39809;3512;35277;3362;2609;29306
01/02/2002;41264;3396;36761;3399;2373;30988
01/03/2002;42315;3568;37596;2916;2727;31953
01/04/2002;46013;3813;41140;3927;2791;34421
01/05/2002;40068;3471;35467;2910;2653;29903
01/06/2002;45365;3914;40148;3262;2955;33931
01/07/2002;42630;3614;37899;2993;2839;32067
01/08/2002;41272;3469;36813;2755;2941;31117
01/09/2002;43347;3407;38596;3573;2752;32272
01/10/2002;47373;4006;41971;3644;2917;35410
01/11/2002;46610;3917;41404;3496;2878;35031
01/12/2002;42464;3724;37448;4006;2778;30664
01/01/2003;44289;3546;39071;3834;2649;32589
01/02/2003;43310;3517;38257;4239;2640;31378
01/03/2003;46079;3877;40456;3713;3035;33708
01/04/2003;44769;3902;39282;3475;2861;32946
01/05/2003;44086;3721;38763;4015;2802;31945
01/06/2003;43946;3856;38386;3049;2811;32526
01/07/2003;44133;3442;39133;3179;2744;33209
01/08/2003;39705;3530;34587;3313;2540;28735
01/09/2003;44052;3560;38906;3319;2453;33134
01/10/2003;47418;3807;41659;3292;2873;35493
01/11/2003;48625;4026;42784;4202;2834;35748
01/12/2003;44122;3818;38600;4018;2622;31960
01/01/2004;42980;3673;37988;3281;2743;31964
01/02/2004;44255;3516;39428;3807;2674;32948
01/03/2004;48214;3764;42854;3908;3143;35803
01/04/2004;47224;3827;41889;3424;3106;35359
01/05/2004;46367;3733;40974;3306;3114;34555
01/06/2004;47884;3612;42586;4144;3137;35305
01/07/2004;48627;3869;42760;3845;3422;35494
01/08/2004;45030;3603;39843;3842;3787;32214
01/09/2004;49623;3708;43770;4333;3693;35744
01/10/2004;51667;3926;45572;4209;3963;37400
01/11/2004;54710;4170;48138;4457;3869;39812
01/12/2004;48867;3809;42870;4903;3451;34517
01/01/2005;47240;3564;42148;4540;3559;34049
01/02/2005;46144;3403;41428;4139;4015;33274
01/03/2005;48954;3693;43809;5019;3757;35032
01/04/2005;52130;4033;46473;4869;3674;37930
01/05/2005;51629;4203;45685;5152;4032;36501
01/06/2005;52423;3786;46968;5346;3728;37894
01/07/2005;50963;3674;45599;4573;4047;36979
01/08/2005;51028;3948;45243;5568;4296;35378
01/09/2005;54486;3985;48634;5970;4347;38318
01/10/2005;56804;4176;50593;5929;4282;40381
01/11/2005;58568;4240;52021;6032;4366;41623
01/12/2005;57718;4462;51082;6349;4296;40437
01/01/2006;55901;4136;50386;6511;4458;39416
01/02/2006;57149;3885;51596;7158;4735;39702
01/03/2006;62293;4311;56076;6892;5211;43973
01/04/2006;58802;4356;52395;6721;4809;40865
01/05/2006;60219;4451;53564;6912;5315;41336
01/06/2006;61109;4178;54544;6260;5210;43074
01/07/2006;60202;4268;53417;6736;5527;41154
01/08/2006;58143;4279;51431;6503;5276;39652
01/09/2006;63926;4313;56841;6921;6063;43857
01/10/2006;66703;4630;59005;6093;5740;47172
01/11/2006;66928;4268;59427;6074;5640;47713
01/12/2006;62619;4515;54966;6427;5122;43417
01/01/2007;60900;4506;54492;5988;5339;43165
01/02/2007;63350;4422;56868;6335;5381;45152
01/03/2007;65399;4800;58277;5478;5645;47154
01/04/2007;63632;4890;56518;6038;5376;45104
01/05/2007;61678;4365;55084;6203;5685;43195
01/06/2007;65018;4628;57718;5939;5800;45979
01/07/2007;63311;4604;56291;6126;5571;44593
01/08/2007;63219;4757;56056;6303;5699;44054
01/09/2007;63261;4754;56003;5592;5448;44964
01/10/2007;69633;5159;61527;6679;5641;49207
01/11/2007;67961;5039;60065;7550;5471;47043
01/12/2007;62525;5047;54765;7923;5852;40989
01/01/2008;66261;5169;59531;8281;5655;45595
01/02/2008;66413;4906;59827;7886;6094;45848
01/03/2008;65987;5039;59154;7908;5729;45517
01/04/2008;69716;5301;62416;8663;5911;47842
01/05/2008;65362;5300;57832;7989;6092;43751
01/06/2008;67603;5104;60291;8014;6869;45408
01/07/2008;71928;5245;64550;9516;7247;47786
01/08/2008;64047;4831;57035;8445;6854;41736
01/09/2008;70997;5133;63466;8846;6687;47933
01/10/2008;72036;5376;63856;8179;7390;48287
01/11/2008;66118;5153;58098;8122;5401;44576
01/12/2008;59374;5197;51734;7402;4432;39900
01/01/2009;56154;5106;49448;6715;3919;38813
01/02/2009;55018;4787;48577;5565;4223;38789
01/03/2009;58763;5278;51277;5688;4309;41280
01/04/2009;54335;5306;47327;4845;3972;38510
01/05/2009;50326;4857;43786;5027;3344;35415
01/06/2009;53173;4675;46628;4868;3936;37825
