Importe von Waren, preisbereinigt
Datum;Originalwert, Kettenindex 2015=100;Originalwert, Veränderung gegenüber Vorjahresquartal in %;Trend-Konjunktur-Komponente (BV 4.1), Kettenindex 2015=100;Trend-Konjunktur-Komponente (BV 4.1), Veränderung gegenüber Vorquartal in %;Kalender- und saisonbereinigte Werte (BV 4.1), Kettenindex 2015=100;Kalender- und saisonbereinigte Werte (BV 4.1), Veränderung gegenüber Vorquartal in %;Restkomponente (BV 4.1)
01/07/1995;34,27;.;35,94;1,6;35,99;1,2;0,0
01/10/1995;37,08;.;36,17;0,6;36,13;0,4;-0,0
01/01/1996;36,45;5,5;36,27;0,3;36,20;0,2;-0,1
01/04/1996;36,29;2,3;36,52;0,7;36,49;0,8;-0,0
01/07/1996;35,53;3,7;37,01;1,4;36,79;0,8;-0,2
01/10/1996;38,77;4,6;37,81;2,2;37,91;3,1;0,1
01/01/1997;38,11;4,6;38,78;2,6;38,93;2,7;0,2
01/04/1997;40,06;10,4;39,78;2,6;39,44;1,3;-0,3
01/07/1997;40,03;12,7;40,99;3,0;41,17;4,4;0,2
01/10/1997;42,75;10,3;42,22;3,0;42,21;2,5;-0,0
01/01/1998;43,29;13,6;43,40;2,8;43,39;2,8;-0,0
01/04/1998;44,80;11,8;44,35;2,2;44,66;2,9;0,3
01/07/1998;43,82;9,5;45,02;1,5;44,78;0,3;-0,2
01/10/1998;46,85;9,6;45,86;1,9;45,74;2,1;-0,1
01/01/1999;46,56;7,6;46,83;2,1;46,90;2,5;0,1
01/04/1999;48,51;8,3;47,83;2,1;47,93;2,2;0,1
01/07/1999;48,34;10,3;48,83;2,1;49,26;2,8;0,4
01/10/1999;51,05;9,0;49,63;1,6;48,83;-0,9;-0,8
01/01/2000;51,22;10,0;51,13;3,0;51,27;5,0;0,1
01/04/2000;52,69;8,6;53,01;3,7;52,78;3,0;-0,2
01/07/2000;52,89;9,4;54,79;3,4;54,51;3,3;-0,3
01/10/2000;59,27;16,1;55,94;2,1;57,12;4,8;1,2
01/01/2001;54,42;6,2;55,77;-0,3;55,60;-2,7;-0,2
01/04/2001;54,95;4,3;54,93;-1,5;54,97;-1,1;0,0
01/07/2001;51,97;-1,7;53,62;-2,4;53,76;-2,2;0,1
01/10/2001;54,51;-8,0;52,53;-2,0;52,17;-3,0;-0,4
01/01/2002;49,62;-8,8;52,08;-0,9;51,52;-1,3;-0,6
01/04/2002;53,11;-3,3;52,48;0,8;52,69;2,3;0,2
01/07/2002;51,93;-0,1;53,48;1,9;53,58;1,7;0,1
