Importe von Waren, preisbereinigt
Datum;Originalwert, Kettenindex 2020=100;Originalwert, Veränderung gegenüber Vorjahresquartal in %;Saison- und kalenderbereinigte Werte nach X 13 JDemetra+, Kettenindex 2020=100;Saison- und kalenderbereinigte Werte nach X 13 JDemetra+, Veränderung gegenüber Vorquartal in %
01/07/1997;39,00;.;40,08;4,4
01/10/1997;41,61;.;40,50;1,0
01/01/1998;42,07;13,4;42,69;5,4
01/04/1998;43,56;11,6;43,58;2,1
01/07/1998;42,61;9,3;43,70;0,3
01/10/1998;45,51;9,4;43,37;-0,8
01/01/1999;45,12;7,2;45,79;5,6
01/04/1999;47,05;8,0;46,69;2,0
01/07/1999;46,89;10,0;48,10;3,0
01/10/1999;49,48;8,7;46,94;-2,4
01/01/2000;49,53;9,8;49,50;5,5
01/04/2000;50,95;8,3;51,00;3,0
01/07/2000;51,17;9,1;53,07;4,1
01/10/2000;57,28;15,8;55,34;4,3
01/01/2001;52,48;6,0;52,80;-4,6
01/04/2001;53,01;4,0;53,23;0,8
01/07/2001;50,14;-2,0;51,94;-2,4
01/10/2001;52,52;-8,3;50,98;-1,8
01/01/2002;47,71;-9,1;49,07;-3,7
01/04/2002;51,08;-3,6;50,82;3,6
01/07/2002;49,92;-0,4;51,20;0,7
01/10/2002;54,33;3,4;52,81;3,1
01/01/2003;52,99;11,1;54,18;2,6
01/04/2003;53,42;4,6;53,75;-0,8
01/07/2003;52,39;4,9;53,64;-0,2
01/10/2003;58,45;7,6;56,44;5,2
01/01/2004;55,98;5,6;56,59;0,3
01/04/2004;57,59;7,8;57,48;1,6
01/07/2004;58,12;10,9;59,33;3,2
01/10/2004;63,15;8,0;59,97;1,1
01/01/2005;56,66;1,2;58,15;-3,0
01/04/2005;62,04;7,7;61,19;5,2
01/07/2005;61,67;6,1;62,90;2,8
01/10/2005;68,75;8,9;66,00;4,9
01/01/2006;67,80;19,7;67,78;2,7
01/04/2006;68,65;10,7;69,34;2,3
01/07/2006;68,84;11,6;70,51;1,7
01/10/2006;75,00;9,1;72,79;3,2
01/01/2007;73,82;8,9;73,92;1,6
01/04/2007;73,45;7,0;74,30;0,5
01/07/2007;73,93;7,4;75,48;1,6
01/10/2007;77,27;3,0;75,78;0,4
01/01/2008;75,70;2,5;76,74;1,3
01/04/2008;75,83;3,2;75,06;-2,2
01/07/2008;76,37;3,3;77,08;2,7
01/10/2008;75,90;-1,8;74,38;-3,5
01/01/2009;69,43;-8,3;69,85;-6,1
01/04/2009;64,40;-15,1;65,21;-6,6
01/07/2009;67,74;-11,3;68,11;4,4
01/10/2009;69,93;-7,9;67,84;-0,4
01/01/2010;72,01;3,7;72,08;6,3
01/04/2010;76,66;19,0;77,09;7,0
01/07/2010;76,85;13,4;77,16;0,1
01/10/2010;80,67;15,4;78,46;1,7
01/01/2011;81,18;12,7;80,54;2,7
01/04/2011;82,13;7,1;82,69;2,7
01/07/2011;82,11;6,8;82,47;-0,3
01/10/2011;82,83;2,7;81,52;-1,2
01/01/2012;81,81;0,8;80,52;-1,2
01/04/2012;79,56;-3,1;80,64;0,1
01/07/2012;79,35;-3,4;80,27;-0,5
01/10/2012;80,37;-3,0;80,22;-0,1
01/01/2013;79,45;-2,9;79,65;-0,7
01/04/2013;80,64;1,4;81,09;1,8
01/07/2013;82,59;4,1;82,96;2,3
01/10/2013;83,09;3,4;83,09;0,2
01/01/2014;83,59;5,2;83,39;0,4
01/04/2014;83,80;3,9;84,83;1,7
01/07/2014;84,37;2,2;84,77;-0,1
01/10/2014;86,59;4,2;86,25;1,7
01/01/2015;88,44;5,8;88,14;2,2
01/04/2015;87,43;4,3;88,41;0,3
01/07/2015;88,97;5,5;89,34;1,1
01/10/2015;90,43;4,4;88,71;-0,7
01/01/2016;90,74;2,6;91,12;2,7
01/04/2016;91,28;4,4;90,21;-1,0
01/07/2016;90,77;2,0;91,46;1,4
01/10/2016;94,35;4,3;93,13;1,8
01/01/2017;94,82;4,5;93,09;-0,0
01/04/2017;94,28;3,3;95,19;2,3
01/07/2017;94,51;4,1;96,10;1,0
01/10/2017;97,47;3,3;97,44;1,4
01/01/2018;100,32;5,8;99,75;2,4
01/04/2018;100,92;7,0;101,10;1,4
01/07/2018;101,28;7,2;103,07;1,9
01/10/2018;103,07;5,7;102,94;-0,1
01/01/2019;105,51;5,2;105,01;2,0
01/04/2019;102,98;2,0;103,88;-1,1
01/07/2019;104,41;3,1;105,49;1,5
01/10/2019;105,79;2,6;105,74;0,2
01/01/2020;104,75;-0,7;103,86;-1,8
01/04/2020;89,81;-12,8;90,52;-12,8
01/07/2020;98,59;-5,6;99,47;9,9
01/10/2020;106,85;1,0;104,66;5,2
01/01/2021;107,93;3,0;107,40;2,6
01/04/2021;108,50;20,8;108,39;0,9
01/07/2021;103,31;4,8;104,28;-3,8
01/10/2021;112,63;5,4;110,04;5,5
01/01/2022;112,41;4,2;111,24;1,1
01/04/2022;112,30;3,5;111,97;0,7
01/07/2022;111,88;8,3;113,09;1,0
01/10/2022;114,21;1,4;112,71;-0,3
01/01/2023;111,37;-0,9;109,96;-2,4
01/04/2023;108,66;-3,2;108,93;-0,9
01/07/2023;105,17;-6,0;107,17;-1,6
01/10/2023;105,10;-8,0;104,28;-2,7
01/01/2024;104,16;-6,5;104,38;0,1
01/04/2024;104,77;-3,6;104,17;-0,2
01/07/2024;104,16;-1,0;105,28;1,1
01/10/2024;104,70;-0,4;104,63;-0,6
01/01/2025;106,29;2,0;106,89;2,2
