Index der Lohnnebenkosten, Produzierendes Gewerbe und Dienstleistungsbereiche, Index der Arbeitskosten insgesamt
Datum;Originalwert, 2020=100;Originalwert, Veränderung gegenüber Vorjahresquartal in %;Saison- und kalenderbereinigte Werte nach X 13 JDemetra+, 2020=100;Saison- und kalenderbereinigte Werte nach X 13 JDemetra+, Veränderung gegenüber Vorsquartal in %;Kalenderbereinigte Werte nach X 13 JDemetra+, 2020=100;Kalenderbereinigte Werte nach X 13 JDemetra+, Veränderung gegenüber Vorjahresquartal in %
01/07/1996;59,9; ;63,6;2,0;59,9; 
01/10/1996;70,4; ;64,1;0,9;70,0; 
01/01/1997;61,5;2,7;64,5;0,6;60,6;0,7
01/04/1997;66,5;3,5;65,3;1,2;67,0;4,8
01/07/1997;61,4;2,5;65,1;-0,2;61,4;2,5
01/10/1997;71,5;1,6;65,4;0,5;71,3;1,9
01/01/1998;61,2;-0,5;65,0;-0,7;61,0;0,7
01/04/1998;68,1;2,3;65,9;1,4;67,7;1,0
01/07/1998;62,9;2,4;66,8;1,4;63,0;2,5
01/10/1998;73,0;2,1;67,9;1,6;73,8;3,5
01/01/1999;62,5;2,2;66,3;-2,4;62,3;2,2
01/04/1999;69,6;2,3;67,7;2,2;69,7;2,9
01/07/1999;63,7;1,3;67,7;-0,1;63,8;1,3
01/10/1999;73,3;0,4;68,6;1,4;74,3;0,7
01/01/2000;65,4;4,6;69,9;2,0;65,9;5,8
01/04/2000;71,9;3,3;69,3;-0,9;71,6;2,7
01/07/2000;66,7;4,7;70,4;1,6;66,4;4,0
01/10/2000;77,2;5,3;71,2;1,2;76,8;3,3
01/01/2001;67,4;3,0;71,5;0,4;67,6;2,6
01/04/2001;74,5;3,6;71,6;0,1;74,1;3,6
01/07/2001;67,7;1,6;71,4;-0,3;67,4;1,6
01/10/2001;77,9;0,9;72,2;1,1;77,4;0,8
01/01/2002;70,3;4,3;73,7;2,0;69,8;3,2
01/04/2002;75,8;1,8;73,1;-0,8;75,9;2,4
01/07/2002;69,6;2,8;73,7;0,8;69,7;3,3
01/10/2002;79,0;1,4;73,6;-0,2;78,4;1,4
01/01/2003;71,5;1,7;75,1;2,1;71,3;2,1
01/04/2003;79,1;4,4;75,6;0,7;78,7;3,7
01/07/2003;72,3;3,8;76,4;1,1;72,3;3,8
01/10/2003;80,6;2,0;75,7;-1,0;80,3;2,4
01/01/2004;71,7;0,2;75,6;-0,1;71,8;0,8
01/04/2004;79,5;0,5;76,3;0,9;79,6;1,1
01/07/2004;71,9;-0,5;76,1;-0,3;72,0;-0,4
01/10/2004;79,0;-1,9;75,6;-0,6;80,0;-0,4
01/01/2005;71,4;-0,4;74,4;-1,6;70,7;-1,5
01/04/2005;78,1;-1,8;75,7;1,8;79,1;-0,6
01/07/2005;69,8;-3,0;73,6;-2,8;69,8;-3,1
01/10/2005;77,3;-2,2;73,3;-0,4;77,3;-3,4
01/01/2006;70,6;-1,1;74,8;2,1;71,1;0,6
01/04/2006;77,2;-1,2;73,3;-2,0;76,7;-3,0
01/07/2006;70,3;0,8;73,6;0,4;69,9;0,2
01/10/2006;78,1;1,0;73,8;0,2;77,6;0,3
01/01/2007;69,1;-2,2;72,7;-1,4;69,2;-2,7
01/04/2007;75,4;-2,3;71,5;-1,7;74,9;-2,3
01/07/2007;68,2;-3,0;71,2;-0,4;67,8;-3,1
01/10/2007;75,6;-3,2;71,6;0,5;75,0;-3,4
01/01/2008;68,4;-1,0;71,0;-0,8;67,6;-2,3
01/04/2008;74,4;-1,3;71,7;1,0;75,2;0,4
01/07/2008;69,8;2,3;73,1;1,9;69,7;2,8
01/10/2008;77,4;2,4;73,8;0,9;77,0;2,7
01/01/2009;70,8;3,5;73,8;0,0;70,4;4,1
01/04/2009;79,0;6,2;74,7;1,2;78,5;4,3
01/07/2009;71,9;3,1;75,5;1,0;71,9;3,2
01/10/2009;77,9;0,7;75,4;0,0;78,5;2,0
01/01/2010;73,2;3,4;76,2;1,0;72,8;3,4
01/04/2010;81,1;2,6;77,0;1,2;81,0;3,3
01/07/2010;74,1;2,9;77,8;1,0;74,0;3,0
01/10/2010;80,4;3,2;78,1;0,3;81,2;3,4
01/01/2011;75,3;2,9;78,7;0,8;75,4;3,5
01/04/2011;83,7;3,2;79,4;0,9;83,6;3,2
01/07/2011;75,4;1,8;79,3;-0,1;75,2;1,6
01/10/2011;82,7;2,9;79,4;0,1;82,6;1,7
01/01/2012;76,3;1,3;79,9;0,7;76,7;1,8
01/04/2012;85,7;2,4;80,7;1,0;85,1;1,8
01/07/2012;77,0;2,2;80,9;0,2;76,5;1,7
01/10/2012;86,0;4,0;81,9;1,2;85,3;3,2
01/01/2013;78,6;3,1;81,1;-0,9;77,9;1,6
01/04/2013;84,1;-1,8;79,7;-1,7;84,1;-1,2
01/07/2013;74,9;-2,7;79,3;-0,6;74,7;-2,3
01/10/2013;84,6;-1,6;80,4;1,5;83,9;-1,7
01/01/2014;78,3;-0,4;81,0;0,7;77,9;0,0
01/04/2014;88,2;4,9;83,1;2,6;87,7;4,3
01/07/2014;78,8;5,3;83,6;0,6;78,7;5,3
01/10/2014;87,8;3,8;83,8;0,2;87,4;4,2
01/01/2015;81,5;4,1;84,2;0,6;81,1;4,1
01/04/2015;90,0;2,0;84,8;0,7;89,4;2,0
01/07/2015;81,1;2,9;86,2;1,7;81,1;3,0
01/10/2015;90,5;3,0;87,4;1,4;91,2;4,3
01/01/2016;83,8;2,8;85,8;-1,9;82,8;2,1
01/04/2016;91,7;2,0;88,1;2,7;92,7;3,8
01/07/2016;82,5;1,7;87,6;-0,6;82,4;1,6
01/10/2016;93,7;3,5;89,8;2,6;93,5;2,6
01/01/2017;86,2;2,9;89,6;-0,2;86,7;4,7
01/04/2017;94,7;3,2;89,4;-0,2;94,1;1,4
01/07/2017;85,3;3,4;90,0;0,6;84,7;2,9
01/10/2017;95,5;2,0;90,8;0,8;94,4;0,9
01/01/2018;91,2;5,9;93,8;3,3;90,9;4,9
01/04/2018;97,5;3,0;92,8;-1,0;97,4;3,6
01/07/2018;89,2;4,6;94,1;1,3;88,6;4,6
01/10/2018;97,8;2,5;93,3;-0,8;97,0;2,8
01/01/2019;92,9;1,8;95,4;2,2;92,6;1,9
01/04/2019;102,1;4,7;96,8;1,5;101,4;4,1
01/07/2019;91,5;2,6;97,0;0,2;91,4;3,1
01/10/2019;101,9;4,2;97,2;0,3;101,0;4,2
01/01/2020;95,7;3,1;98,4;1,2;95,7;3,4
01/04/2020;105,0;2,9;99,8;1,4;104,3;2,9
01/07/2020;96,0;4,8;101,7;1,9;95,9;4,9
01/10/2020;103,3;1,4;100,1;-1,6;104,1;3,0
01/01/2021;93,5;-2,3;95,8;-4,3;93,2;-2,6
01/04/2021;104,2;-0,8;99,9;4,4;104,1;-0,2
01/07/2021;98,4;2,6;104,3;4,4;98,4;2,6
01/10/2021;108,6;5,1;105,3;1,0;109,7;5,3
01/01/2022;103,1;10,2;106,1;0,8;103,4;10,9
01/04/2022;116,2;11,5;111,5;5,1;116,1;11,5
01/07/2022;106,1;7,8;112,3;0,6;105,9;7,7
