Produktionsindex, Bauhauptgewerbe insgesamt
Datum;Originalwert, 2021=100;Originalwert, Veränderung gegenüber Vorjahresmonat in %;Saison- und kalenderbereinigte Werte nach X 13 JDemetra+, 2021=100;Saison- und kalenderbereinigte Werte nach X 13 JDemetra+, Veränderung gegenüber Vorsmonat in %
01/03/1997;74,1;.;79,4;0,9
01/04/1997;94,3;.;80,4;1,3
01/05/1997;80,0;.;80,1;-0,4
01/06/1997;93,0;.;81,0;1,1
01/07/1997;95,0;.;81,6;0,7
01/08/1997;79,0;.;79,5;-2,6
01/09/1997;96,3;.;80,6;1,4
01/10/1997;94,5;.;79,9;-0,9
01/11/1997;83,7;.;79,1;-1,0
01/12/1997;61,0;.;78,8;-0,4
01/01/1998;53,3;18,2;77,8;-1,3
01/02/1998;54,0;-3,9;76,2;-2,1
01/03/1998;77,3;4,3;78,5;3,0
01/04/1998;81,4;-13,7;76,3;-2,8
01/05/1998;80,1;0,1;77,5;1,6
01/06/1998;87,1;-6,3;78,2;0,9
01/07/1998;91,8;-3,4;78,3;0,1
01/08/1998;77,6;-1,8;77,1;-1,5
01/09/1998;92,4;-4,0;77,0;-0,1
01/10/1998;90,5;-4,2;75,9;-1,4
01/11/1998;81,4;-2,7;74,9;-1,3
01/12/1998;56,7;-7,0;73,0;-2,5
01/01/1999;54,0;1,3;79,9;9,5
01/02/1999;48,9;-9,4;70,9;-11,3
01/03/1999;79,6;3,0;79,5;12,1
01/04/1999;82,7;1,6;77,6;-2,4
01/05/1999;80,1;0,0;77,7;0,1
01/06/1999;90,5;3,9;77,3;-0,5
01/07/1999;87,9;-4,2;78,2;1,2
01/08/1999;81,6;5,2;77,1;-1,4
01/09/1999;92,4;0,0;77,1;0,0
01/10/1999;88,4;-2,3;78,0;1,2
01/11/1999;83,8;2,9;76,7;-1,7
01/12/1999;62,4;10,1;76,7;0,0
01/01/2000;51,5;-4,6;76,8;0,1
01/02/2000;61,3;25,4;81,4;6,0
01/03/2000;76,2;-4,3;76,7;-5,8
01/04/2000;73,8;-10,8;76,1;-0,8
01/05/2000;90,0;12,4;76,2;0,1
01/06/2000;78,4;-13,4;73,0;-4,2
01/07/2000;80,0;-9,0;73,6;0,8
01/08/2000;81,1;-0,6;73,8;0,3
01/09/2000;83,1;-10,1;72,2;-2,2
01/10/2000;80,4;-9,0;70,3;-2,6
01/11/2000;80,6;-3,8;73,3;4,3
01/12/2000;56,8;-9,0;72,8;-0,7
01/01/2001;47,0;-8,7;70,5;-3,2
01/02/2001;50,5;-17,6;72,5;2,8
01/03/2001;64,2;-15,7;66,5;-8,3
01/04/2001;67,2;-8,9;65,8;-1,1
01/05/2001;78,4;-12,9;69,2;5,2
01/06/2001;74,4;-5,1;68,9;-0,4
01/07/2001;78,4;-2,0;68,0;-1,3
01/08/2001;77,1;-4,9;69,8;2,6
01/09/2001;76,5;-7,9;69,4;-0,6
01/10/2001;83,3;3,6;69,6;0,3
01/11/2001;75,9;-5,8;68,3;-1,9
01/12/2001;51,3;-9,7;69,3;1,5
01/01/2002;44,2;-6,0;67,7;-2,3
01/02/2002;49,4;-2,2;71,3;5,3
01/03/2002;62,6;-2,5;68,4;-4,1
01/04/2002;75,0;11,6;67,4;-1,5
01/05/2002;69,4;-11,5;66,1;-1,9
01/06/2002;73,4;-1,3;65,5;-0,9
01/07/2002;78,4;0,0;64,5;-1,5
01/08/2002;69,6;-9,7;65,6;1,7
01/09/2002;76,3;-0,3;65,9;0,5
01/10/2002;77,4;-7,1;64,0;-2,9
01/11/2002;70,6;-7,0;64,9;1,4
01/12/2002;45,9;-10,5;61,7;-4,9
01/01/2003;39,3;-11,1;63,0;2,1
01/02/2003;38,7;-21,7;59,5;-5,6
01/03/2003;60,0;-4,2;65,4;9,9
01/04/2003;68,8;-8,3;64,7;-1,1
01/05/2003;68,7;-1,0;63,5;-1,9
01/06/2003;70,1;-4,5;64,6;1,7
01/07/2003;78,7;0,4;64,6;0,0
01/08/2003;64,0;-8,0;62,8;-2,8
01/09/2003;76,7;0,5;63,0;0,3
01/10/2003;75,5;-2,5;62,4;-1,0
01/11/2003;67,4;-4,5;62,0;-0,6
01/12/2003;49,6;8,1;63,7;2,7
01/01/2004;35,9;-8,7;60,1;-5,7
01/02/2004;41,8;8,0;62,6;4,2
01/03/2004;60,0;0,0;62,5;-0,2
01/04/2004;64,2;-6,7;60,3;-3,5
01/05/2004;62,8;-8,6;60,7;0,7
01/06/2004;71,8;2,4;59,9;-1,3
01/07/2004;70,6;-10,3;59,9;0,0
01/08/2004;63,8;-0,3;58,9;-1,7
01/09/2004;72,3;-5,7;58,8;-0,2
01/10/2004;68,4;-9,4;58,6;-0,3
01/11/2004;65,5;-2,8;58,2;-0,7
01/12/2004;48,0;-3,2;59,3;1,9
01/01/2005;34,3;-4,5;57,9;-2,4
01/02/2005;31,2;-25,4;52,8;-8,8
01/03/2005;43,3;-27,8;49,3;-6,6
01/04/2005;62,2;-3,1;54,3;10,1
01/05/2005;60,0;-4,5;56,5;4,1
01/06/2005;69,9;-2,6;56,7;0,4
01/07/2005;64,5;-8,6;56,9;0,4
01/08/2005;64,5;1,1;56,6;-0,5
01/09/2005;69,4;-4,0;56,6;0,0
01/10/2005;64,3;-6,0;58,2;2,8
01/11/2005;64,1;-2,1;55,6;-4,5
01/12/2005;46,6;-2,9;59,4;6,8
01/01/2006;30,2;-12,0;52,7;-11,3
01/02/2006;32,7;4,8;54,3;3,0
01/03/2006;47,5;9,7;49,4;-9,0
01/04/2006;58,0;-6,8;58,0;17,4
01/05/2006;69,2;15,3;60,8;4,8
01/06/2006;68,5;-2,0;60,4;-0,7
01/07/2006;68,9;6,8;61,7;2,2
01/08/2006;69,1;7,1;61,2;-0,8
01/09/2006;71,4;2,9;61,7;0,8
01/10/2006;70,3;9,3;61,4;-0,5
01/11/2006;71,5;11,5;62,8;2,3
01/12/2006;50,8;9,0;64,7;3,0
01/01/2007;41,4;37,1;63,2;-2,3
01/02/2007;42,9;31,2;64,3;1,7
01/03/2007;58,7;23,6;62,1;-3,4
01/04/2007;60,9;5,0;58,5;-5,8
01/05/2007;65,3;-5,6;60,0;2,6
01/06/2007;67,5;-1,5;59,5;-0,8
01/07/2007;70,2;1,9;60,0;0,8
01/08/2007;68,0;-1,6;60,1;0,2
01/09/2007;67,1;-6,0;60,5;0,7
01/10/2007;72,5;3,1;60,4;-0,2
01/11/2007;67,2;-6,0;58,5;-3,1
01/12/2007;46,3;-8,9;61,5;5,1
01/01/2008;44,5;7,5;66,5;8,1
01/02/2008;48,4;12,8;67,4;1,4
01/03/2008;51,7;-11,9;61,8;-8,3
01/04/2008;68,2;12,0;57,4;-7,1
01/05/2008;62,9;-3,7;59,5;3,7
01/06/2008;69,5;3,0;59,4;-0,2
01/07/2008;71,4;1,7;58,0;-2,4
01/08/2008;62,8;-7,6;60,7;4,7
01/09/2008;72,4;7,9;59,6;-1,8
01/10/2008;70,9;-2,2;58,6;-1,7
01/11/2008;64,1;-4,6;58,8;0,3
01/12/2008;47,4;2,4;61,9;5,3
01/01/2009;30,1;-32,4;54,7;-11,6
01/02/2009;35,7;-26,2;56,4;3,1
01/03/2009;59,2;14,5;61,6;9,2
01/04/2009;67,2;-1,5;62,1;0,8
01/05/2009;64,5;2,5;61,9;-0,3
01/06/2009;70,2;1,0;62,4;0,8
01/07/2009;74,4;4,2;61,0;-2,2
01/08/2009;66,0;5,1;63,6;4,3
01/09/2009;75,3;4,0;62,5;-1,7
01/10/2009;72,8;2,7;59,9;-4,2
01/11/2009;68,3;6,6;59,9;0,0
01/12/2009;47,0;-0,8;61,4;2,5
01/01/2010;25,8;-14,3;51,9;-15,5
01/02/2010;30,4;-14,8;51,0;-1,7
01/03/2010;60,4;2,0;59,9;17,5
01/04/2010;68,8;2,4;63,8;6,5
01/05/2010;65,4;1,4;62,9;-1,4
01/06/2010;74,0;5,4;63,2;0,5
01/07/2010;73,4;-1,3;63,3;0,2
01/08/2010;69,7;5,6;64,7;2,2
01/09/2010;76,8;2,0;64,1;-0,9
01/10/2010;77,0;5,8;67,5;5,3
01/11/2010;75,0;9,8;65,7;-2,7
01/12/2010;37,5;-20,2;52,2;-20,5
01/01/2011;41,7;61,6;67,6;29,5
01/02/2011;49,5;62,8;69,1;2,2
