Produktionsindex, Investitionsgüter
Datum;Originalwert, 2021=100;Originalwert, Veränderung gegenüber Vorjahresmonat in %;Trend-Konjunktur-Komponente (BV 4.1), 2021=100;Trend-Konjunktur-Komponente (BV 4.1), Veränderung gegenüber Vormonat in %
01/03/1997;64,1;.;65,9;0,3
01/04/1997;70,2;.;66,1;0,3
01/05/1997;59,4;.;66,4;0,5
01/06/1997;73,6;.;66,8;0,6
01/07/1997;70,1;.;67,2;0,6
01/08/1997;53,8;.;67,6;0,6
01/09/1997;73,2;.;68,0;0,6
01/10/1997;72,0;.;68,5;0,7
01/11/1997;72,1;.;69,0;0,7
01/12/1997;72,7;.;69,5;0,7
01/01/1998;59,0;4,1;70,3;1,2
01/02/1998;66,0;9,1;70,8;0,7
01/03/1998;78,8;22,9;71,2;0,6
01/04/1998;71,2;1,4;71,7;0,7
01/05/1998;68,2;14,8;72,1;0,6
01/06/1998;75,1;2,0;72,4;0,4
01/07/1998;75,8;8,1;72,5;0,1
01/08/1998;59,9;11,3;72,6;0,1
01/09/1998;78,0;6,6;72,7;0,1
01/10/1998;77,6;7,8;72,6;-0,1
01/11/1998;78,4;8,7;72,7;0,1
01/12/1998;78,2;7,6;72,7;0,0
01/01/1999;58,1;-1,5;72,5;-0,3
01/02/1999;66,3;0,5;72,5;0,0
01/03/1999;80,5;2,2;72,5;0,0
01/04/1999;72,1;1,3;72,4;-0,1
01/05/1999;68,5;0,4;72,4;0,0
01/06/1999;79,3;5,6;72,6;0,3
01/07/1999;71,7;-5,4;72,7;0,1
01/08/1999;64,3;7,3;73,1;0,6
01/09/1999;79,9;2,4;73,2;0,1
01/10/1999;76,5;-1,4;73,8;0,8
01/11/1999;81,8;4,3;74,2;0,5
01/12/1999;80,4;2,8;74,8;0,8
01/01/2000;63,8;9,8;75,4;0,8
01/02/2000;75,4;13,7;76,2;1,1
01/03/2000;86,2;7,1;76,9;0,9
01/04/2000;72,3;0,3;77,8;1,2
01/05/2000;84,9;23,9;78,6;1,0
01/06/2000;79,4;0,1;79,5;1,1
01/07/2000;77,0;7,4;80,2;0,9
01/08/2000;72,7;13,1;80,9;0,9
01/09/2000;86,1;7,8;81,6;0,9
01/10/2000;82,8;8,2;82,1;0,6
01/11/2000;89,9;9,9;82,4;0,4
01/12/2000;85,4;6,2;82,7;0,4
01/01/2001;75,2;17,9;82,8;0,1
01/02/2001;78,8;4,5;82,7;-0,1
01/03/2001;90,8;5,3;82,7;0,0
01/04/2001;77,9;7,7;82,5;-0,2
01/05/2001;83,7;-1,4;82,2;-0,4
01/06/2001;83,1;4,7;81,8;-0,5
01/07/2001;79,4;3,1;81,6;-0,2
01/08/2001;74,2;2,1;81,2;-0,5
01/09/2001;83,0;-3,6;80,9;-0,4
01/10/2001;84,1;1,6;80,5;-0,5
01/11/2001;86,1;-4,2;80,3;-0,2
01/12/2001;77,5;-9,3;80,0;-0,4
01/01/2002;72,3;-3,9;80,0;0,0
01/02/2002;74,0;-6,1;79,9;-0,1
01/03/2002;80,7;-11,1;79,9;0,0
01/04/2002;83,0;6,5;80,1;0,3
01/05/2002;74,8;-10,6;80,4;0,4
01/06/2002;85,4;2,8;80,6;0,2
01/07/2002;82,7;4,2;80,7;0,1
01/08/2002;71,5;-3,6;80,9;0,2
01/09/2002;85,3;2,8;81,0;0,1
01/10/2002;84,6;0,6;81,0;0,0
01/11/2002;87,2;1,3;81,1;0,1
01/12/2002;80,2;3,5;81,1;0,0
01/01/2003;73,2;1,2;81,5;0,5
01/02/2003;78,9;6,6;81,5;0,0
01/03/2003;84,5;4,7;81,3;-0,2
01/04/2003;79,8;-3,9;80,9;-0,5
01/05/2003;78,5;4,9;80,6;-0,4
01/06/2003;78,7;-7,8;80,3;-0,4
01/07/2003;84,6;2,3;80,4;0,1
01/08/2003;66,2;-7,4;80,9;0,6
