Produktionsindex, Produzierendes Gewerbe
Datum;Originalwert, 2021=100;Originalwert, Veränderung gegenüber Vorjahresmonat in %;Saison- und kalenderbereinigte Werte nach X 13 JDemetra+, 2021=100;Saison- und kalenderbereinigte Werte nach X 13 JDemetra+, Veränderung gegenüber Vorsmonat in %
01/03/1997;75,0;.;77,4;1,4
01/04/1997;82,4;.;77,1;-0,4
01/05/1997;71,6;.;76,2;-1,2
01/06/1997;82,3;.;78,5;3,0
01/07/1997;81,1;.;79,5;1,3
01/08/1997;68,3;.;76,9;-3,3
01/09/1997;83,9;.;77,5;0,8
01/10/1997;85,4;.;78,7;1,5
01/11/1997;82,7;.;79,0;0,4
01/12/1997;75,6;.;79,3;0,4
01/01/1998;71,7;3,6;79,9;0,8
01/02/1998;73,8;4,5;79,8;-0,1
01/03/1998;86,2;14,9;80,7;1,1
01/04/1998;80,2;-2,7;79,9;-1,0
01/05/1998;77,3;8,0;80,4;0,6
01/06/1998;82,1;-0,2;80,0;-0,5
01/07/1998;83,8;3,3;81,6;2,0
01/08/1998;71,7;5,0;80,0;-2,0
01/09/1998;85,8;2,3;79,4;-0,7
01/10/1998;86,7;1,5;79,8;0,5
01/11/1998;85,1;2,9;78,7;-1,4
01/12/1998;76,8;1,6;78,8;0,1
01/01/1999;70,1;-2,2;80,6;2,3
01/02/1999;72,8;-1,4;78,7;-2,4
01/03/1999;87,7;1,7;79,6;1,1
01/04/1999;80,1;-0,1;79,9;0,4
01/05/1999;77,1;-0,3;80,2;0,4
01/06/1999;85,4;4,0;80,6;0,5
01/07/1999;80,9;-3,5;81,0;0,5
01/08/1999;75,5;5,3;81,6;0,7
01/09/1999;87,7;2,2;81,3;-0,4
01/10/1999;86,0;-0,8;82,0;0,9
01/11/1999;89,3;4,9;81,8;-0,2
01/12/1999;81,6;6,2;82,0;0,2
01/01/2000;73,4;4,7;81,6;-0,5
01/02/2000;81,2;11,5;82,9;1,6
01/03/2000;90,5;3,2;83,1;0,2
01/04/2000;78,8;-1,6;83,7;0,7
01/05/2000;90,8;17,8;86,0;2,7
01/06/2000;82,9;-2,9;83,4;-3,0
01/07/2000;82,8;2,3;85,2;2,2
01/08/2000;81,6;8,1;85,7;0,6
01/09/2000;89,5;2,1;85,8;0,1
01/10/2000;89,2;3,7;85,3;-0,6
01/11/2000;93,4;4,6;85,7;0,5
01/12/2000;81,8;0,2;86,3;0,7
01/01/2001;80,8;10,1;85,6;-0,8
01/02/2001;80,8;-0,5;87,2;1,9
01/03/2001;91,1;0,7;85,3;-2,2
01/04/2001;81,5;3,4;83,9;-1,6
01/05/2001;87,2;-4,0;85,3;1,7
01/06/2001;84,6;2,1;85,2;-0,1
01/07/2001;83,7;1,1;83,1;-2,5
01/08/2001;81,2;-0,5;85,2;2,5
01/09/2001;85,0;-5,0;84,3;-1,1
01/10/2001;89,5;0,3;82,8;-1,8
01/11/2001;89,2;-4,5;82,1;-0,8
01/12/2001;74,7;-8,7;82,8;0,9
01/01/2002;77,7;-3,8;82,3;-0,6
01/02/2002;77,1;-4,6;83,0;0,9
01/03/2002;83,4;-8,5;83,4;0,5
01/04/2002;86,2;5,8;83,3;-0,1
01/05/2002;80,0;-8,3;82,6;-0,8
01/06/2002;85,4;0,9;84,1;1,8
01/07/2002;86,3;3,1;82,9;-1,4
01/08/2002;78,0;-3,9;84,6;2,1
01/09/2002;87,4;2,8;83,9;-0,8
01/10/2002;89,7;0,2;83,0;-1,1
01/11/2002;88,6;-0,7;84,4;1,7
01/12/2002;76,1;1,9;82,5;-2,3
01/01/2003;77,6;-0,1;83,4;1,1
01/02/2003;78,6;1,9;83,4;0,0
01/03/2003;85,7;2,8;84,0;0,7
01/04/2003;83,7;-2,9;83,4;-0,7
01/05/2003;82,1;2,6;82,8;-0,7
01/06/2003;81,6;-4,4;82,4;-0,5
01/07/2003;87,6;1,5;84,1;2,1
01/08/2003;73,5;-5,8;82,2;-2,3
01/09/2003;88,2;0,9;82,0;-0,2
01/10/2003;90,6;1,0;84,0;2,4
01/11/2003;88,0;-0,7;84,7;0,8
01/12/2003;80,0;5,1;84,8;0,1
01/01/2004;76,6;-1,3;84,8;0,0
01/02/2004;79,6;1,3;84,5;-0,4
01/03/2004;93,2;8,8;84,5;0,0
01/04/2004;85,7;2,4;85,4;1,1
01/05/2004;82,7;0,7;86,2;0,9
01/06/2004;90,5;10,9;85,7;-0,6
01/07/2004;87,1;-0,6;86,5;0,9
01/08/2004;79,6;8,3;85,7;-0,9
01/09/2004;92,1;4,4;85,7;0,0
01/10/2004;90,4;-0,2;86,4;0,8
01/11/2004;92,3;4,9;85,2;-1,4
01/12/2004;84,3;5,4;85,3;0,1
01/01/2005;78,7;2,7;87,1;2,1
01/02/2005;80,0;0,5;85,8;-1,5
01/03/2005;89,2;-4,3;86,1;0,3
01/04/2005;90,3;5,4;87,4;1,5
01/05/2005;83,8;1,3;86,5;-1,0
01/06/2005;95,5;5,5;88,1;1,8
01/07/2005;86,9;-0,2;89,3;1,4
01/08/2005;83,1;4,4;86,9;-2,7
01/09/2005;95,8;4,0;88,9;2,3
01/10/2005;91,3;1,0;90,5;1,8
01/11/2005;97,2;5,3;89,6;-1,0
01/12/2005;88,4;4,9;89,9;0,3
01/01/2006;84,5;7,4;90,4;0,6
01/02/2006;84,7;5,9;90,6;0,2
01/03/2006;98,9;10,9;89,3;-1,4
01/04/2006;85,9;-4,9;91,9;2,9
01/05/2006;95,4;13,8;92,9;1,1
01/06/2006;94,7;-0,8;92,7;-0,2
01/07/2006;91,6;5,4;94,1;1,5
01/08/2006;90,3;8,7;94,5;0,4
01/09/2006;98,2;2,5;94,4;-0,1
01/10/2006;98,0;7,3;94,1;-0,3
01/11/2006;103,7;6,7;95,7;1,7
01/12/2006;90,6;2,5;96,6;0,9
01/01/2007;91,2;7,9;96,3;-0,3
01/02/2007;90,9;7,3;97,1;0,8
01/03/2007;104,2;5,4;97,2;0,1
01/04/2007;93,2;8,5;96,2;-1,0
01/05/2007;97,6;2,3;98,1;2,0
01/06/2007;100,3;5,9;98,3;0,2
01/07/2007;99,5;8,6;98,9;0,6
01/08/2007;94,8;5,0;99,1;0,2
01/09/2007;100,7;2,5;100,2;1,1
01/10/2007;108,0;10,2;100,2;0,0
01/11/2007;108,2;4,3;100,0;-0,2
01/12/2007;90,5;-0,1;100,7;0,7
01/01/2008;96,5;5,8;102,3;1,6
01/02/2008;99,0;8,9;101,8;-0,5
01/03/2008;98,1;-5,9;100,9;-0,9
01/04/2008;108,4;16,3;101,4;0,5
01/05/2008;96,5;-1,1;99,3;-2,1
01/06/2008;104,7;4,4;100,2;0,9
01/07/2008;102,8;3,3;98,7;-1,5
01/08/2008;89,9;-5,2;100,4;1,7
01/09/2008;106,2;5,5;98,6;-1,8
01/10/2008;104,0;-3,7;96,5;-2,1
01/11/2008;96,2;-11,1;92,5;-4,1
01/12/2008;83,9;-7,3;89,6;-3,1
01/01/2009;75,3;-22,0;83,4;-6,9
01/02/2009;75,6;-23,6;80,9;-3,0
01/03/2009;87,0;-11,3;81,2;0,4
01/04/2009;79,2;-26,9;79,0;-2,7
01/05/2009;79,1;-18,0;82,0;3,8
01/06/2009;85,0;-18,8;83,4;1,7
01/07/2009;85,8;-16,5;82,4;-1,2
01/08/2009;76,0;-15,5;83,8;1,7
01/09/2009;93,2;-12,2;86,7;3,5
01/10/2009;91,9;-11,6;84,9;-2,1
01/11/2009;91,9;-4,5;85,6;0,8
01/12/2009;81,9;-2,4;85,8;0,2
01/01/2010;74,8;-0,7;86,7;1,0
01/02/2010;79,6;5,3;85,6;-1,3
01/03/2010;97,7;12,3;88,1;2,9
01/04/2010;89,6;13,1;90,2;2,4
01/05/2010;88,9;12,4;92,7;2,8
01/06/2010;96,8;13,9;92,0;-0,8
01/07/2010;92,3;7,6;91,7;-0,3
01/08/2010;87,3;14,9;93,0;1,4
01/09/2010;100,6;7,9;94,1;1,2
01/10/2010;99,9;8,7;95,7;1,7
01/11/2010;103,6;12,7;95,1;-0,6
01/12/2010;96,1;17,3;95,8;0,7
01/01/2011;86,1;15,1;96,6;0,8
01/02/2011;92,2;15,8;97,5;0,9
01/03/2011;107,3;9,8;97,8;0,3
01/04/2011;94,0;4,9;97,9;0,1
01/05/2011;104,7;17,8;98,8;0,9
01/06/2011;95,8;-1,0;97,4;-1,4
01/07/2011;97,7;5,9;100,3;3,0
01/08/2011;96,3;10,3;99,7;-0,6
01/09/2011;105,1;4,5;98,1;-1,6
01/10/2011;99,8;-0,1;99,4;1,3
01/11/2011;107,6;3,9;99,0;-0,4
01/12/2011;97,8;1,8;97,9;-1,1
01/01/2012;90,4;5,0;98,2;0,3
01/02/2012;94,7;2,7;97,5;-0,7
01/03/2012;107,5;0,2;99,5;2,1
01/04/2012;94,1;0,1;97,7;-1,8
01/05/2012;98,7;-5,7;99,4;1,7
01/06/2012;100,4;4,8;98,5;-0,9
01/07/2012;100,4;2,8;99,2;0,7
01/08/2012;96,2;-0,1;99,2;0,0
01/09/2012;98,6;-6,2;98,4;-0,8
01/10/2012;104,4;4,6;96,9;-1,5
01/11/2012;104,9;-2,5;96,2;-0,7
01/12/2012;88,9;-9,1;96,4;0,2
01/01/2013;89,3;-1,2;95,7;-0,7
01/02/2013;90,1;-4,9;96,1;0,4
01/03/2013;98,5;-8,4;97,3;1,2
01/04/2013;101,0;7,3;98,1;0,8
01/05/2013;94,2;-4,6;97,1;-1,0
01/06/2013;99,9;-0,5;98,9;1,9
01/07/2013;102,3;1,9;97,8;-1,1
01/08/2013;93,4;-2,9;99,4;1,6
01/09/2013;102,7;4,2;99,1;-0,3
01/10/2013;106,1;1,6;98,5;-0,6
01/11/2013;105,5;0,6;100,1;1,6
01/12/2013;94,3;6,1;100,4;0,3
01/01/2014;92,2;3,2;100,1;-0,3
01/02/2014;95,3;5,8;100,1;0,0
01/03/2014;103,1;4,7;100,0;-0,1
01/04/2014;99,4;-1,6;99,7;-0,3
01/05/2014;98,0;4,0;98,9;-0,8
01/06/2014;97,8;-2,1;99,2;0,3
01/07/2014;105,5;3,1;100,7;1,5
01/08/2014;88,7;-5,0;97,4;-3,3
01/09/2014;106,9;4,1;99,6;2,3
01/10/2014;107,3;1,1;99,8;0,2
01/11/2014;104,2;-1,2;99,8;0,0
01/12/2014;97,3;3,2;101,4;1,6
01/01/2015;86,9;-5,7;99,8;-1,6
01/02/2015;92,6;-2,8;100,2;0,4
01/03/2015;108,2;4,9;100,3;0,1
01/04/2015;100,2;0,8;101,0;0,7
01/05/2015;93,6;-4,5;101,2;0,2
01/06/2015;106,6;9,0;100,9;-0,3
01/07/2015;107,3;1,7;102,3;1,4
01/08/2015;91,8;3,5;100,3;-2,0
01/09/2015;107,6;0,7;100,2;-0,1
01/10/2015;108,4;1,0;100,9;0,7
01/11/2015;108,0;3,6;100,0;-0,9
01/12/2015;99,5;2,3;100,7;0,7
01/01/2016;86,3;-0,7;102,6;1,9
01/02/2016;98,9;6,8;102,6;0,0
01/03/2016;106,0;-2,0;101,7;-0,9
01/04/2016;105,0;4,8;102,1;0,4
01/05/2016;97,5;4,2;100,7;-1,4
01/06/2016;111,1;4,2;102,3;1,6
01/07/2016;99,1;-7,6;101,5;-0,8
01/08/2016;100,2;9,2;102,8;1,3
01/09/2016;110,1;2,3;102,5;-0,3
01/10/2016;102,5;-5,4;103,0;0,5
01/11/2016;112,3;4,0;102,9;-0,1
01/12/2016;101,9;2,4;101,1;-1,7
01/01/2017;91,9;6,5;101,8;0,7
01/02/2017;96,2;-2,7;103,5;1,7
01/03/2017;115,4;8,9;103,0;-0,5
01/04/2017;97,0;-7,6;105,0;1,9
01/05/2017;108,2;11,0;105,1;0,1
01/06/2017;107,1;-3,6;105,0;-0,1
01/07/2017;102,8;3,7;105,4;0,4
01/08/2017;104,5;4,3;107,4;1,9
01/09/2017;110,2;0,1;106,6;-0,7
01/10/2017;104,9;2,3;105,3;-1,2
01/11/2017;118,3;5,3;108,5;3,0
01/12/2017;104,3;2,4;107,9;-0,6
01/01/2018;98,9;7,6;107,2;-0,6
01/02/2018;98,1;2,0;104,9;-2,1
01/03/2018;111,2;-3,6;106,4;1,4
01/04/2018;105,2;8,5;106,2;-0,2
01/05/2018;104,6;-3,3;108,0;1,7
01/06/2018;112,4;4,9;107,5;-0,5
01/07/2018;107,1;4,2;106,0;-1,4
01/08/2018;103,9;-0,6;107,2;1,1
01/09/2018;106,1;-3,7;106,5;-0,7
01/10/2018;112,4;7,1;106,0;-0,5
01/11/2018;113,8;-3,8;104,2;-1,7
01/12/2018;98,1;-5,9;105,6;1,3
01/01/2019;97,1;-1,8;105,1;-0,5
01/02/2019;99,9;1,8;105,0;-0,1
01/03/2019;109,2;-1,8;106,0;1,0
01/04/2019;103,8;-1,3;104,7;-1,2
01/05/2019;107,9;3,2;104,8;0,1
01/06/2019;98,4;-12,5;103,7;-1,0
01/07/2019;108,2;1,0;103,6;-0,1
01/08/2019;97,1;-6,5;104,0;0,4
01/09/2019;106,7;0,6;103,2;-0,8
01/10/2019;108,5;-3,5;102,4;-0,8
01/11/2019;108,4;-4,7;103,1;0,7
01/12/2019;95,7;-2,4;100,8;-2,2
01/01/2020;95,0;-2,2;104,3;3,5
01/02/2020;98,2;-1,7;104,4;0,1
01/03/2020;103,4;-5,3;95,5;-8,5
01/04/2020;77,5;-25,3;78,1;-18,2
01/05/2020;81,6;-24,4;85,0;8,8
01/06/2020;95,3;-3,2;93,5;10,0
01/07/2020;98,7;-8,8;94,5;1,1
01/08/2020;86,3;-11,1;94,8;0,3
01/09/2020;103,7;-2,8;96,7;2,0
01/10/2020;106,7;-1,7;100,0;3,4
01/11/2020;109,6;1,1;101,4;1,4
01/12/2020;101,3;5,9;102,7;1,3
01/01/2021;85,2;-10,3;100,4;-2,2
01/02/2021;93,9;-4,4;98,3;-2,1
01/03/2021;114,5;10,7;101,3;3,1
01/04/2021;100,6;29,8;101,1;-0,2
01/05/2021;96,0;17,6;100,6;-0,5
01/06/2021;104,0;9,1;98,7;-1,9
01/07/2021;100,5;1,8;100,1;1,4
