Umsatzindex in ausgewählten Dienstleistungsbereichen, in konstanten Preisen
Datum;Dienstleistungen, 2015=100;Verkehr und Lagerei, 2015=100;Information und Kommunikation, 2015=100;Grundstücks- und Wohnungswesen, 2015=100;Freiberufliche, wissenschaftliche und technische Dienstleistungen, 2015=100;sonstige wirtschaftliche Dienstleistungen, 2015=100
01/03/2015;100,0;102,0;100,0;96,8;101,2;101,4
01/04/2015;96,2;97,8;96,4;95,3;93,2;98,3
01/05/2015;92,9;95,4;88,2;93,5;89,3;94,0
01/06/2015;103,1;104,3;102,1;102,7;102,2;102,6
01/07/2015;104,8;108,2;98,3;103,8;104,1;107,6
01/08/2015;95,0;97,5;88,1;94,3;90,9;99,9
01/09/2015;102,8;104,5;102,2;95,9;100,8;106,0
01/10/2015;103,9;104,1;103,2;102,7;103,0;105,0
01/11/2015;103,3;103,1;105,8;97,9;107,9;102,2
01/12/2015;124,2;109,4;132,4;141,0;140,9;111,3
01/01/2016;93,3;87,9;110,5;97,2;83,6;90,3
01/02/2016;93,8;95,1;98,7;93,2;89,8;93,8
01/03/2016;105,4;109,8;111,6;101,4;101,2;102,6
01/04/2016;103,9;103,0;107,9;103,8;100,5;105,2
01/05/2016;100,2;101,9;100,0;97,3;96,8;101,8
01/06/2016;109,4;108,4;113,8;103,2;108,2;112,1
01/07/2016;103,2;101,8;105,0;103,9;98,3;104,7
01/08/2016;103,1;104,1;99,2;110,0;98,0;104,3
01/09/2016;107,9;105,4;110,2;107,9;102,8;111,8
01/10/2016;106,2;105,6;112,3;100,4;100,2;109,5
01/11/2016;109,0;106,3;114,8;107,0;112,7;107,8
01/12/2016;128,3;109,6;142,2;146,5;143,6;116,2
01/01/2017;95,8;94,2;108,9;95,1;87,2;95,8
01/02/2017;91,3;96,2;90,3;88,9;88,0;93,3
01/03/2017;108,8;114,3;107,9;102,1;106,7;113,0
01/04/2017;99,0;101,0;98,6;99,7;93,9;101,6
01/05/2017;104,5;109,4;96,3;100,7;102,5;110,8
01/06/2017;107,5;107,5;108,7;102,8;106,3;109,3
01/07/2017;103,8;103,2;101,0;102,7;101,5;107,9
01/08/2017;104,1;108,5;99,0;98,8;99,5;110,3
01/09/2017;107,5;111,3;104,2;99,6;103,0;114,2
01/10/2017;106,5;109,0;106,6;98,0;103,2;111,4
01/11/2017;110,9;113,2;108,0;111,0;113,8;113,2
01/12/2017;128,5;109,4;142,8;138,9;144,6;120,4
