Volumenindex des Auftragseingangs, Gebrauchsgüter insgesamt
Datum;Originalwert, 2021=100;Originalwert, Veränderung gegenüber Vorjahresmonat in %;Trend-Konjunktur-Komponente (BV 4.1), 2021=100;Trend-Konjunktur-Komponente (BV 4.1), Veränderung gegenüber Vormonat in %
01/03/1997;99,7;.;100,8;0,1
01/04/1997;108,0;.;100,8;0,0
01/05/1997;86,2;.;101,0;0,2
01/06/1997;101,8;.;101,3;0,3
01/07/1997;96,4;.;101,7;0,4
01/08/1997;79,5;.;102,0;0,3
01/09/1997;119,5;.;102,5;0,5
01/10/1997;117,3;.;102,9;0,4
01/11/1997;112,6;.;103,4;0,5
01/12/1997;97,7;.;103,9;0,5
01/01/1998;94,4;-2,6;104,2;0,3
01/02/1998;101,7;4,7;104,6;0,4
01/03/1998;120,1;20,5;104,7;0,1
01/04/1998;104,5;-3,2;104,5;-0,2
01/05/1998;95,9;11,3;104,2;-0,3
01/06/1998;101,2;-0,6;103,9;-0,3
01/07/1998;96,4;0,0;103,5;-0,4
01/08/1998;83,3;4,8;103,0;-0,5
01/09/1998;119,0;-0,4;102,6;-0,4
01/10/1998;114,4;-2,5;102,1;-0,5
01/11/1998;114,8;2,0;101,8;-0,3
01/12/1998;97,3;-0,4;101,5;-0,3
01/01/1999;88,0;-6,8;101,4;-0,1
01/02/1999;96,0;-5,6;101,2;-0,2
01/03/1999;116,2;-3,2;101,2;0,0
01/04/1999;99,3;-5,0;101,3;0,1
01/05/1999;92,5;-3,5;101,6;0,3
01/06/1999;104,2;3,0;101,8;0,2
01/07/1999;91,8;-4,8;102,2;0,4
01/08/1999;88,0;5,6;102,5;0,3
01/09/1999;118,1;-0,8;102,9;0,4
01/10/1999;114,3;-0,1;103,5;0,6
01/11/1999;120,5;5,0;104,0;0,5
01/12/1999;101,9;4,7;104,4;0,4
01/01/2000;93,7;6,5;104,8;0,4
01/02/2000;108,5;13,0;105,1;0,3
01/03/2000;120,8;4,0;105,4;0,3
01/04/2000;98,1;-1,2;105,5;0,1
01/05/2000;113,8;23,0;106,0;0,5
01/06/2000;98,2;-5,8;106,1;0,1
01/07/2000;93,5;1,9;106,5;0,4
01/08/2000;94,3;7,2;106,7;0,2
01/09/2000;116,2;-1,6;106,9;0,2
01/10/2000;115,6;1,1;107,2;0,3
01/11/2000;123,0;2,1;107,4;0,2
01/12/2000;98,0;-3,8;107,4;0,0
01/01/2001;104,0;11,0;107,6;0,2
01/02/2001;105,4;-2,9;107,7;0,1
01/03/2001;120,3;-0,4;107,7;0,0
01/04/2001;102,7;4,7;107,6;-0,1
01/05/2001;108,0;-5,1;107,5;-0,1
01/06/2001;101,7;3,6;107,2;-0,3
01/07/2001;96,3;3,0;106,7;-0,5
01/08/2001;95,9;1,7;106,2;-0,5
01/09/2001;112,1;-3,5;105,6;-0,6
01/10/2001;117,0;1,2;104,8;-0,8
01/11/2001;117,3;-4,6;104,0;-0,8
01/12/2001;91,5;-6,6;103,2;-0,8
01/01/2002;100,9;-3,0;102,3;-0,9
01/02/2002;97,3;-7,7;101,6;-0,7
01/03/2002;103,9;-13,6;100,7;-0,9
01/04/2002;101,9;-0,8;100,1;-0,6
01/05/2002;90,2;-16,5;99,3;-0,8
01/06/2002;95,6;-6,0;98,6;-0,7
01/07/2002;93,9;-2,5;97,9;-0,7
01/08/2002;81,0;-15,5;97,5;-0,4
01/09/2002;107,7;-3,9;96,9;-0,6
01/10/2002;108,9;-6,9;96,3;-0,6
01/11/2002;107,5;-8,4;95,9;-0,4
01/12/2002;86,6;-5,4;95,4;-0,5
01/01/2003;90,5;-10,3;93,7;-1,8
01/02/2003;93,2;-4,2;93,7;0,0
01/03/2003;99,9;-3,8;93,7;0,0
01/04/2003;93,2;-8,5;93,3;-0,4
01/05/2003;88,5;-1,9;93,0;-0,3
01/06/2003;85,4;-10,7;92,8;-0,2
01/07/2003;94,5;0,6;93,0;0,2
01/08/2003;69,2;-14,6;93,4;0,4
01/09/2003;105,9;-1,7;93,7;0,3
01/10/2003;106,6;-2,1;93,8;0,1
01/11/2003;101,1;-6,0;93,7;-0,1
01/12/2003;87,8;1,4;93,7;0,0
01/01/2004;86,5;-4,4;93,6;-0,1
01/02/2004;91,2;-2,1;93,6;0,0
01/03/2004;107,4;7,5;93,4;-0,2
01/04/2004;93,5;0,3;93,1;-0,3
01/05/2004;86,7;-2,0;92,8;-0,3
01/06/2004;95,0;11,2;92,4;-0,4
01/07/2004;90,0;-4,8;92,0;-0,4
01/08/2004;72,1;4,2;91,6;-0,4
01/09/2004;103,9;-1,9;91,2;-0,4
01/10/2004;98,7;-7,4;91,0;-0,2
01/11/2004;102,2;1,1;90,8;-0,2
01/12/2004;87,8;0,0;90,7;-0,1
01/01/2005;83,4;-3,6;90,7;0,0
01/02/2005;89,4;-2,0;90,8;0,1
01/03/2005;98,1;-8,7;90,8;0,0
01/04/2005;96,0;2,7;91,0;0,2
01/05/2005;85,2;-1,7;91,2;0,2
01/06/2005;98,9;4,1;91,6;0,4
01/07/2005;83,5;-7,2;92,1;0,5
01/08/2005;79,2;9,8;92,6;0,5
01/09/2005;106,2;2,2;93,1;0,5
01/10/2005;96,5;-2,2;93,7;0,6
01/11/2005;106,6;4,3;94,2;0,5
01/12/2005;89,0;1,4;94,8;0,6
01/01/2006;91,5;9,7;95,5;0,7
01/02/2006;95,3;6,6;96,3;0,8
01/03/2006;112,1;14,3;97,1;0,8
01/04/2006;90,4;-5,8;98,0;0,9
01/05/2006;103,8;21,8;98,9;0,9
01/06/2006;96,9;-2,0;99,5;0,6
01/07/2006;86,8;4,0;100,3;0,8
01/08/2006;90,2;13,9;100,7;0,4
01/09/2006;110,1;3,7;101,2;0,5
01/10/2006;109,5;13,5;101,6;0,4
01/11/2006;115,3;8,2;101,8;0,2
01/12/2006;93,7;5,3;102,0;0,2
01/01/2007;98,9;8,1;101,9;-0,1
01/02/2007;101,2;6,2;101,9;0,0
01/03/2007;112,9;0,7;101,8;-0,1
01/04/2007;94,3;4,3;101,8;0,0
01/05/2007;98,0;-5,6;101,8;0,0
01/06/2007;101,4;4,6;101,9;0,1
01/07/2007;93,9;8,2;102,0;0,1
01/08/2007;91,3;1,2;101,9;-0,1
01/09/2007;106,7;-3,1;102,0;0,1
01/10/2007;113,3;3,5;101,9;-0,1
01/11/2007;114,1;-1,0;102,0;0,1
01/12/2007;87,6;-6,5;102,2;0,2
01/01/2008;100,3;1,4;102,3;0,1
01/02/2008;105,4;4,2;102,4;0,1
01/03/2008;99,2;-12,1;102,2;-0,2
01/04/2008;111,7;18,5;101,8;-0,4
01/05/2008;92,6;-5,5;101,0;-0,8
01/06/2008;102,9;1,5;99,7;-1,3
01/07/2008;92,7;-1,3;98,4;-1,3
01/08/2008;83,0;-9,1;96,7;-1,7
01/09/2008;110,9;3,9;94,9;-1,9
01/10/2008;108,0;-4,7;92,7;-2,3
01/11/2008;99,4;-12,9;90,6;-2,3
01/12/2008;80,8;-7,8;88,4;-2,4
01/01/2009;78,0;-22,2;86,3;-2,4
01/02/2009;78,5;-25,5;84,4;-2,2
01/03/2009;87,4;-11,9;82,9;-1,8
01/04/2009;77,7;-30,4;81,6;-1,6
01/05/2009;73,1;-21,1;80,6;-1,2
01/06/2009;78,3;-23,9;80,0;-0,7
01/07/2009;75,5;-18,6;79,8;-0,3
01/08/2009;66,1;-20,4;79,8;0,0
01/09/2009;92,7;-16,4;80,2;0,5
01/10/2009;91,9;-14,9;81,0;1,0
01/11/2009;92,8;-6,6;81,9;1,1
01/12/2009;77,7;-3,8;82,8;1,1
01/01/2010;74,3;-4,7;83,7;1,1
01/02/2010;82,9;5,6;84,4;0,8
01/03/2010;96,2;10,1;84,9;0,6
01/04/2010;83,5;7,5;85,5;0,7
01/05/2010;80,8;10,5;86,1;0,7
01/06/2010;91,0;16,2;86,5;0,5
01/07/2010;80,8;7,0;86,9;0,5
01/08/2010;74,8;13,2;87,4;0,6
01/09/2010;100,9;8,8;87,9;0,6
01/10/2010;96,3;4,8;88,3;0,5
01/11/2010;99,9;7,7;88,7;0,5
01/12/2010;84,0;8,1;89,3;0,7
01/01/2011;81,4;9,6;89,8;0,6
01/02/2011;89,6;8,1;90,2;0,4
01/03/2011;105,3;9,5;90,7;0,6
01/04/2011;88,0;5,4;90,9;0,2
01/05/2011;97,7;20,9;91,1;0,2
01/06/2011;84,0;-7,7;91,2;0,1
01/07/2011;86,9;7,5;91,2;0,0
01/08/2011;80,2;7,2;91,1;-0,1
01/09/2011;103,7;2,8;91,1;0,0
01/10/2011;94,1;-2,3;90,9;-0,2
01/11/2011;102,0;2,1;90,7;-0,2
01/12/2011;83,8;-0,2;90,4;-0,3
01/01/2012;86,2;5,9;90,0;-0,4
01/02/2012;91,8;2,5;89,7;-0,3
01/03/2012;100,2;-4,8;89,2;-0,6
01/04/2012;82,9;-5,8;88,9;-0,3
01/05/2012;87,5;-10,4;88,5;-0,4
01/06/2012;88,4;5,2;88,2;-0,3
