Volumenindex des Auftragseingangs, Investitionsgüter, Inland
Datum;Originalwert, 2021=100;Originalwert, Veränderung gegenüber Vorjahresmonat in %;Trend-Konjunktur-Komponente (BV 4.1), 2021=100;Trend-Konjunktur-Komponente (BV 4.1), Veränderung gegenüber Vormonat in %
01/03/1997;81,9;.;84,7;0,0
01/04/1997;88,8;.;84,9;0,2
01/05/1997;76,6;.;85,0;0,1
01/06/1997;94,0;.;85,2;0,2
01/07/1997;88,9;.;85,5;0,4
01/08/1997;71,0;.;85,6;0,1
01/09/1997;95,2;.;86,1;0,6
01/10/1997;86,2;.;86,5;0,5
01/11/1997;92,0;.;87,0;0,6
01/12/1997;98,3;.;87,4;0,5
01/01/1998;71,0;1,1;87,8;0,5
01/02/1998;78,5;8,6;88,6;0,9
01/03/1998;100,3;22,5;89,0;0,5
01/04/1998;86,0;-3,2;89,5;0,6
01/05/1998;85,1;11,1;89,9;0,4
01/06/1998;94,9;1,0;90,4;0,6
01/07/1998;93,3;4,9;90,6;0,2
01/08/1998;74,5;4,9;91,0;0,4
01/09/1998;98,4;3,4;91,3;0,3
01/10/1998;97,1;12,6;91,6;0,3
01/11/1998;98,1;6,6;91,9;0,3
01/12/1998;108,1;10,0;92,0;0,1
01/01/1999;72,1;1,5;92,0;0,0
01/02/1999;80,7;2,8;92,2;0,2
01/03/1999;104,6;4,3;92,4;0,2
01/04/1999;89,8;4,4;92,3;-0,1
01/05/1999;84,9;-0,2;92,3;0,0
01/06/1999;103,4;9,0;92,3;0,0
01/07/1999;90,1;-3,4;92,3;0,0
01/08/1999;80,2;7,7;92,4;0,1
01/09/1999;106,1;7,8;92,6;0,2
01/10/1999;94,4;-2,8;92,6;0,0
01/11/1999;100,5;2,4;92,7;0,1
01/12/1999;107,6;-0,5;93,1;0,4
01/01/2000;75,9;5,3;93,5;0,4
01/02/2000;88,9;10,2;94,0;0,5
01/03/2000;105,5;0,9;94,4;0,4
01/04/2000;86,8;-3,3;95,0;0,6
01/05/2000;104,1;22,6;95,8;0,8
01/06/2000;98,9;-4,4;96,5;0,7
01/07/2000;91,1;1,1;97,0;0,5
01/08/2000;89,8;12,0;97,7;0,7
01/09/2000;103,6;-2,4;98,1;0,4
01/10/2000;97,2;3,0;98,5;0,4
01/11/2000;109,1;8,6;99,0;0,5
01/12/2000;108,3;0,7;99,2;0,2
01/01/2001;86,3;13,7;99,2;0,0
01/02/2001;90,8;2,1;99,1;-0,1
01/03/2001;108,5;2,8;99,0;-0,1
01/04/2001;93,0;7,1;98,9;-0,1
01/05/2001;101,0;-3,0;98,5;-0,4
01/06/2001;98,6;-0,3;98,0;-0,5
01/07/2001;92,0;1,0;97,7;-0,3
01/08/2001;90,8;1,1;97,1;-0,6
01/09/2001;100,1;-3,4;96,6;-0,5
01/10/2001;101,4;4,3;95,9;-0,7
01/11/2001;104,6;-4,1;95,3;-0,6
01/12/2001;98,1;-9,4;94,7;-0,6
01/01/2002;80,9;-6,3;94,2;-0,5
01/02/2002;84,1;-7,4;93,9;-0,3
01/03/2002;93,8;-13,5;93,6;-0,3
01/04/2002;95,0;2,2;93,2;-0,4
01/05/2002;85,7;-15,1;93,1;-0,1
01/06/2002;97,3;-1,3;93,0;-0,1
01/07/2002;93,3;1,4;93,1;0,1
01/08/2002;83,5;-8,0;93,4;0,3
01/09/2002;100,6;0,5;93,3;-0,1
01/10/2002;99,2;-2,2;93,4;0,1
01/11/2002;100,1;-4,3;93,6;0,2
01/12/2002;100,1;2,0;93,7;0,1
01/01/2003;78,6;-2,8;94,1;0,4
01/02/2003;88,2;4,9;94,2;0,1
01/03/2003;97,6;4,1;94,1;-0,1
01/04/2003;91,8;-3,4;94,1;0,0
01/05/2003;92,9;8,4;94,0;-0,1
01/06/2003;93,0;-4,4;94,0;0,0
01/07/2003;97,6;4,6;94,1;0,1
01/08/2003;78,7;-5,7;94,4;0,3
01/09/2003;103,1;2,5;94,7;0,3
01/10/2003;98,3;-0,9;95,0;0,3
01/11/2003;102,1;2,0;95,3;0,3
01/12/2003;105,6;5,5;95,6;0,3
01/01/2004;77,9;-0,9;96,0;0,4
01/02/2004;87,4;-0,9;96,3;0,3
01/03/2004;109,4;12,1;96,7;0,4
01/04/2004;96,4;5,0;97,0;0,3
01/05/2004;91,5;-1,5;97,1;0,1
01/06/2004;104,0;11,8;97,5;0,4
01/07/2004;96,4;-1,2;97,6;0,1
01/08/2004;85,4;8,5;97,7;0,1
01/09/2004;110,2;6,9;97,8;0,1
01/10/2004;101,4;3,2;97,7;-0,1
01/11/2004;107,8;5,6;97,7;0,0
01/12/2004;111,0;5,1;97,8;0,1
01/01/2005;81,1;4,1;97,9;0,1
01/02/2005;87,7;0,3;98,1;0,2
01/03/2005;102,8;-6,0;98,1;0,0
01/04/2005;101,8;5,6;98,3;0,2
01/05/2005;91,4;-0,1;98,5;0,2
01/06/2005;109,8;5,6;98,8;0,3
01/07/2005;94,8;-1,7;99,1;0,3
01/08/2005;87,4;2,3;99,5;0,4
01/09/2005;114,9;4,3;99,8;0,3
01/10/2005;98,7;-2,7;100,1;0,3
01/11/2005;111,9;3,8;100,4;0,3
01/12/2005;115,9;4,4;100,7;0,3
01/01/2006;83,8;3,3;101,2;0,5
01/02/2006;91,5;4,3;101,5;0,3
01/03/2006;114,5;11,4;102,1;0,6
01/04/2006;95,2;-6,5;102,5;0,4
01/05/2006;105,1;15,0;103,1;0,6
01/06/2006;105,6;-3,8;103,5;0,4
01/07/2006;100,0;5,5;104,0;0,5
01/08/2006;91,0;4,1;104,5;0,5
01/09/2006;113,2;-1,5;105,0;0,5
01/10/2006;107,6;9,0;105,4;0,4
01/11/2006;122,5;9,5;106,0;0,6
01/12/2006;115,1;-0,7;106,2;0,2
01/01/2007;88,8;6,0;106,8;0,6
01/02/2007;97,0;6,0;107,1;0,3
01/03/2007;119,0;3,9;107,5;0,4
01/04/2007;100,2;5,3;108,0;0,5
01/05/2007;106,6;1,4;108,5;0,5
01/06/2007;112,4;6,4;109,1;0,6
01/07/2007;107,8;7,8;109,6;0,5
01/08/2007;98,5;8,2;110,2;0,5
01/09/2007;114,1;0,8;110,9;0,6
01/10/2007;119,0;10,6;111,6;0,6
01/11/2007;126,6;3,3;112,5;0,8
01/12/2007;112,6;-2,2;113,3;0,7
01/01/2008;101,2;14,0;114,1;0,7
01/02/2008;110,0;13,4;114,5;0,4
01/03/2008;110,8;-6,9;114,9;0,3
01/04/2008;122,9;22,7;114,9;0,0
01/05/2008;109,4;2,6;114,5;-0,3
01/06/2008;122,5;9,0;113,7;-0,7
01/07/2008;114,5;6,2;112,6;-1,0
01/08/2008;97,7;-0,8;111,1;-1,3
01/09/2008;121,7;6,7;109,5;-1,4
01/10/2008;118,1;-0,8;107,5;-1,8
01/11/2008;114,3;-9,7;105,5;-1,9
01/12/2008;106,6;-5,3;103,4;-2,0
01/01/2009;76,5;-24,4;101,3;-2,0
01/02/2009;80,3;-27,0;99,1;-2,2
01/03/2009;104,0;-6,1;97,3;-1,8
01/04/2009;90,0;-26,8;95,7;-1,6
01/05/2009;90,7;-17,1;94,2;-1,6
01/06/2009;100,0;-18,4;93,0;-1,3
01/07/2009;91,7;-19,9;92,0;-1,1
01/08/2009;77,0;-21,2;91,4;-0,7
01/09/2009;104,7;-14,0;91,2;-0,2
01/10/2009;98,0;-17,0;91,1;-0,1
01/11/2009;100,7;-11,9;91,2;0,1
01/12/2009;95,3;-10,6;91,5;0,3
01/01/2010;68,0;-11,1;92,0;0,5
01/02/2010;81,9;2,0;92,7;0,8
01/03/2010;108,2;4,0;93,3;0,6
01/04/2010;90,3;0,3;94,0;0,8
01/05/2010;91,4;0,8;94,7;0,7
01/06/2010;106,8;6,8;95,6;1,0
01/07/2010;93,8;2,3;96,6;1,0
01/08/2010;84,3;9,5;97,5;0,9
01/09/2010;107,1;2,3;98,6;1,1
01/10/2010;105,6;7,8;99,5;0,9
01/11/2010;115,3;14,5;100,6;1,1
01/12/2010;112,5;18,0;101,4;0,8
01/01/2011;80,9;19,0;102,3;0,9
01/02/2011;93,8;14,5;103,1;0,8
01/03/2011;116,3;7,5;104,0;0,9
01/04/2011;98,9;9,5;104,7;0,7
01/05/2011;114,3;25,1;105,4;0,7
01/06/2011;104,5;-2,2;105,9;0,5
01/07/2011;104,1;11,0;106,5;0,6
01/08/2011;97,9;16,1;107,0;0,5
01/09/2011;119,1;11,2;107,2;0,2
01/10/2011;106,3;0,7;107,6;0,4
01/11/2011;120,8;4,8;107,7;0,1
01/12/2011;117,8;4,7;107,9;0,2
01/01/2012;91,1;12,6;107,8;-0,1
01/02/2012;103,0;9,8;107,8;0,0
01/03/2012;119,0;2,3;107,4;-0,4
01/04/2012;99,7;0,8;107,1;-0,3
01/05/2012;106,6;-6,7;106,7;-0,4
01/06/2012;111,7;6,9;106,4;-0,3
01/07/2012;108,6;4,3;105,9;-0,5
01/08/2012;97,9;0,0;105,6;-0,3
01/09/2012;107,6;-9,7;104,9;-0,7
01/10/2012;107,7;1,3;104,5;-0,4
01/11/2012;115,3;-4,6;104,2;-0,3
01/12/2012;103,7;-12,0;103,8;-0,4
01/01/2013;86,2;-5,4;103,6;-0,2
01/02/2013;93,0;-9,7;103,4;-0,2
01/03/2013;108,3;-9,0;103,4;0,0
01/04/2013;106,1;6,4;103,4;0,0
