Volumenindex des Auftragseingangs, Investitionsgüter insgesamt
Datum;Originalwert, 2021=100;Originalwert, Veränderung gegenüber Vorjahresmonat in %;Trend-Konjunktur-Komponente (BV 4.1), 2021=100;Trend-Konjunktur-Komponente (BV 4.1), Veränderung gegenüber Vormonat in %
01/03/1997;59,9;.;62,2;0,3
01/04/1997;65,1;.;62,5;0,5
01/05/1997;56,8;.;62,9;0,6
01/06/1997;70,0;.;63,4;0,8
01/07/1997;65,3;.;63,7;0,5
01/08/1997;52,3;.;64,0;0,5
01/09/1997;70,7;.;64,4;0,6
01/10/1997;65,9;.;64,9;0,8
01/11/1997;70,3;.;65,5;0,9
01/12/1997;73,2;.;65,9;0,6
01/01/1998;53,2;2,9;66,4;0,8
01/02/1998;60,0;10,1;66,9;0,8
01/03/1998;74,1;23,7;67,5;0,9
01/04/1998;65,4;0,5;67,9;0,6
01/05/1998;64,4;13,4;68,2;0,4
01/06/1998;74,1;5,9;68,5;0,4
01/07/1998;70,5;8,0;68,9;0,6
01/08/1998;57,3;9,6;69,2;0,4
01/09/1998;74,7;5,7;69,4;0,3
01/10/1998;73,4;11,4;69,7;0,4
01/11/1998;74,4;5,8;69,8;0,1
01/12/1998;79,8;9,0;70,0;0,3
01/01/1999;54,7;2,8;70,3;0,4
01/02/1999;62,8;4,7;70,3;0,0
01/03/1999;80,5;8,6;70,5;0,3
01/04/1999;68,7;5,0;70,6;0,1
01/05/1999;66,1;2,6;70,7;0,1
01/06/1999;78,6;6,1;70,8;0,1
01/07/1999;69,2;-1,8;71,0;0,3
01/08/1999;62,4;8,9;71,3;0,4
01/09/1999;80,5;7,8;71,6;0,4
01/10/1999;73,3;-0,1;71,9;0,4
01/11/1999;79,5;6,9;72,3;0,6
01/12/1999;81,7;2,4;72,7;0,6
01/01/2000;61,0;11,5;73,4;1,0
01/02/2000;70,8;12,7;73,9;0,7
01/03/2000;84,3;4,7;74,7;1,1
01/04/2000;69,0;0,4;75,4;0,9
01/05/2000;82,1;24,2;76,1;0,9
01/06/2000;79,1;0,6;77,1;1,3
01/07/2000;73,5;6,2;77,8;0,9
