Volumenindex des Umsatzes im Verarbeitenden Gewerbe, aktueller Monat vorläufig
Datum;Verarbeitendes Gewerbe, 2021=100;Vorleistungsgüter, 2021=100;Investitionsgüter, 2021=100;Gebrauchsgüter, 2021=100;Verbrauchsgüter, 2021=100
01/03/2000;91,8;87,6;84,3;120,8;106,5
01/04/2000;77,4;74,6;69,0;98,1;93,4
01/05/2000;90,2;87,1;82,1;113,8;104,3
01/06/2000;85,1;81,6;79,1;98,2;98,0
01/07/2000;82,1;79,7;73,5;93,5;97,9
01/08/2000;82,4;81,1;70,9;94,3;104,0
01/09/2000;90,4;86,6;83,9;116,2;103,6
01/10/2000;88,0;85,1;79,6;115,6;103,7
01/11/2000;93,0;87,1;88,1;123,0;105,5
01/12/2000;84,5;71,8;86,5;98,0;96,4
01/01/2001;81,6;78,9;72,1;104,0;97,9
01/02/2001;82,4;77,6;76,2;105,4;95,8
01/03/2001;94,6;87,4;90,7;120,3;104,4
01/04/2001;82,8;77,7;76,7;102,7;96,4
01/05/2001;88,7;83,5;82,5;108,0;101,8
01/06/2001;85,9;80,5;80,8;101,7;97,2
01/07/2001;84,6;79,9;76,8;96,3;101,9
01/08/2001;82,5;78,1;73,0;95,9;105,7
01/09/2001;87,2;80,2;83,5;112,1;99,3
01/10/2001;89,6;83,6;82,5;117,0;107,3
01/11/2001;90,0;80,8;86,0;117,3;105,1
01/12/2001;77,8;63,7;79,2;91,5;93,1
01/01/2002;79,3;74,7;70,1;100,9;99,6
01/02/2002;79,1;74,5;71,9;97,3;95,2
01/03/2002;84,9;79,6;78,4;103,9;100,8
01/04/2002;86,6;82,4;79,9;101,9;99,7
01/05/2002;80,7;77,4;72,6;90,2;97,2
01/06/2002;85,6;80,5;81,0;95,6;96,8
01/07/2002;86,5;81,8;79,4;93,9;103,6
01/08/2002;78,5;74,8;69,3;81,0;100,3
01/09/2002;89,4;83,5;84,6;107,7;101,9
01/10/2002;89,0;83,3;83,1;108,9;104,7
01/11/2002;88,4;81,1;84,7;107,5;100,7
01/12/2002;81,0;66,4;84,0;86,6;93,7
01/01/2003;77,8;75,3;68,0;90,5;97,4
01/02/2003;79,9;75,3;74,2;93,2;93,6
01/03/2003;86,7;81,0;82,8;99,9;98,7
01/04/2003;84,2;79,5;78,4;93,2;100,1
01/05/2003;81,7;78,2;75,6;88,5;95,2
01/06/2003;81,8;77,8;76,3;85,4;96,9
01/07/2003;87,8;82,9;82,4;94,5;103,7
01/08/2003;73,0;70,9;63,6;69,2;96,0
01/09/2003;90,6;85,3;85,2;105,9;105,1
01/10/2003;89,7;86,0;82,3;106,6;106,4
01/11/2003;87,8;81,1;85,6;101,1;98,4
01/12/2003;84,9;70,8;88,1;87,8;97,7
01/01/2004;76,3;75,1;67,0;86,5;94,3
01/02/2004;81,8;77,0;77,6;91,2;94,1
01/03/2004;96,5;90,3;93,7;107,4;108,0
01/04/2004;87,4;83,0;83,2;93,5;98,5
01/05/2004;83,4;79,3;80,1;86,7;92,4
01/06/2004;94,3;89,1;92,2;95,0;101,3
01/07/2004;88,6;84,0;83,9;90,0;101,3
01/08/2004;80,6;78,3;72,2;72,1;100,5
