Volumenindex des Auftragseingangs, Verbrauchsgüter insgesamt
Datum;Originalwert, 2021=100;Originalwert, Veränderung gegenüber Vorjahresmonat in %;Trend-Konjunktur-Komponente (BV 4.1), 2021=100;Trend-Konjunktur-Komponente (BV 4.1), Veränderung gegenüber Vormonat in %
01/03/1997;96,5;.;97,9;0,0
01/04/1997;99,6;.;97,7;-0,2
01/05/1997;90,5;.;97,8;0,1
01/06/1997;96,8;.;97,8;0,0
01/07/1997;101,5;.;97,8;0,0
01/08/1997;95,1;.;97,9;0,1
01/09/1997;103,9;.;97,9;0,0
01/10/1997;103,6;.;98,0;0,1
01/11/1997;96,1;.;98,0;0,0
01/12/1997;96,9;.;98,1;0,1
01/01/1998;94,0;-2,3;98,0;-0,1
01/02/1998;93,6;-0,2;98,0;0,0
01/03/1998;103,6;7,4;98,1;0,1
01/04/1998;96,5;-3,1;98,0;-0,1
01/05/1998;92,8;2,5;97,8;-0,2
01/06/1998;96,5;-0,3;97,8;0,0
01/07/1998;101,3;-0,2;97,7;-0,1
01/08/1998;95,5;0,4;97,5;-0,2
01/09/1998;102,6;-1,3;97,4;-0,1
01/10/1998;101,5;-2,0;97,4;0,0
01/11/1998;99,0;3,0;97,3;-0,1
01/12/1998;98,3;1,4;97,4;0,1
01/01/1999;90,7;-3,5;97,6;0,2
01/02/1999;91,8;-1,9;97,8;0,2
01/03/1999;108,4;4,6;98,2;0,4
01/04/1999;93,4;-3,2;98,3;0,1
01/05/1999;94,3;1,6;98,5;0,2
01/06/1999;99,6;3,2;98,8;0,3
01/07/1999;100,3;-1,0;99,0;0,2
01/08/1999;100,6;5,3;99,2;0,2
01/09/1999;106,8;4,1;99,4;0,2
01/10/1999;100,9;-0,6;99,6;0,2
01/11/1999;105,6;6,7;99,7;0,1
01/12/1999;102,4;4,2;99,8;0,1
01/01/2000;90,6;-0,1;99,9;0,1
01/02/2000;99,1;8,0;100,0;0,1
01/03/2000;106,5;-1,8;100,1;0,1
01/04/2000;93,4;0,0;100,3;0,2
01/05/2000;104,3;10,6;100,4;0,1
01/06/2000;98,0;-1,6;100,4;0,0
01/07/2000;97,9;-2,4;100,5;0,1
01/08/2000;104,0;3,4;100,6;0,1
01/09/2000;103,6;-3,0;100,7;0,1
01/10/2000;103,7;2,8;100,9;0,2
01/11/2000;105,5;-0,1;101,0;0,1
01/12/2000;96,4;-5,9;101,0;0,0
01/01/2001;97,9;8,1;101,0;0,0
01/02/2001;95,8;-3,3;101,0;0,0
01/03/2001;104,4;-2,0;101,0;0,0
