Volumenindex des Auftragseingangs, Vorleistungsgüter, Ausland
Datum;Originalwert, 2021=100;Originalwert, Veränderung gegenüber Vorjahresmonat in %;Trend-Konjunktur-Komponente (BV 4.1), 2021=100;Trend-Konjunktur-Komponente (BV 4.1), Veränderung gegenüber Vormonat in %
01/03/1997;51,8;.;52,1;1,4
01/04/1997;57,2;.;52,5;0,8
01/05/1997;50,3;.;53,1;1,1
01/06/1997;58,1;.;53,7;1,1
01/07/1997;54,8;.;54,2;0,9
01/08/1997;48,2;.;54,5;0,6
01/09/1997;58,5;.;55,0;0,9
01/10/1997;58,3;.;55,4;0,7
01/11/1997;53,7;.;55,5;0,2
01/12/1997;49,6;.;55,7;0,4
01/01/1998;53,8;6,1;55,8;0,2
01/02/1998;54,8;8,1;55,8;0,0
01/03/1998;61,7;19,1;55,7;-0,2
01/04/1998;57,1;-0,2;55,5;-0,4
01/05/1998;54,4;8,2;55,4;-0,2
01/06/1998;58,3;0,3;55,2;-0,4
01/07/1998;55,8;1,8;54,9;-0,5
01/08/1998;48,1;-0,2;54,4;-0,9
01/09/1998;58,4;-0,2;54,3;-0,2
01/10/1998;55,5;-4,8;53,9;-0,7
01/11/1998;53,4;-0,6;54,0;0,2
01/12/1998;47,6;-4,0;53,9;-0,2
01/01/1999;50,7;-5,8;54,1;0,4
01/02/1999;52,0;-5,1;54,3;0,4
01/03/1999;63,5;2,9;54,7;0,7
01/04/1999;55,2;-3,3;55,1;0,7
01/05/1999;53,8;-1,1;55,6;0,9
01/06/1999;60,8;4,3;56,3;1,3
01/07/1999;56,4;1,1;57,0;1,2
01/08/1999;51,8;7,7;57,7;1,2
01/09/1999;65,1;11,5;58,6;1,6
01/10/1999;60,1;8,3;59,3;1,2
01/11/1999;61,7;15,5;60,1;1,3
01/12/1999;59,4;24,8;61,0;1,5
01/01/2000;57,2;12,8;61,7;1,1
01/02/2000;64,0;23,1;62,4;1,1
01/03/2000;71,0;11,8;63,5;1,8
01/04/2000;59,4;7,6;64,3;1,3
01/05/2000;68,6;27,5;65,1;1,2
01/06/2000;67,8;11,5;65,7;0,9
01/07/2000;63,4;12,4;66,3;0,9
01/08/2000;64,4;24,3;66,8;0,8
01/09/2000;70,9;8,9;67,1;0,4
01/10/2000;69,3;15,3;67,4;0,4
01/11/2000;70,4;14,1;67,5;0,1
01/12/2000;58,7;-1,2;67,3;-0,3
01/01/2001;66,3;15,9;67,0;-0,4
01/02/2001;65,1;1,7;66,8;-0,3
01/03/2001;72,3;1,8;66,1;-1,0
01/04/2001;63,9;7,6;65,7;-0,6
01/05/2001;67,0;-2,3;65,3;-0,6
01/06/2001;66,5;-1,9;64,8;-0,8
01/07/2001;63,3;-0,2;64,4;-0,6
01/08/2001;60,8;-5,6;64,2;-0,3
01/09/2001;64,0;-9,7;64,0;-0,3
01/10/2001;66,2;-4,5;64,2;0,3
01/11/2001;64,7;-8,1;64,1;-0,2
01/12/2001;52,6;-10,4;64,4;0,5
01/01/2002;63,7;-3,9;64,6;0,3
01/02/2002;64,0;-1,7;64,8;0,3
01/03/2002;68,6;-5,1;65,2;0,6
01/04/2002;69,4;8,6;65,5;0,5
01/05/2002;66,2;-1,2;65,8;0,5
01/06/2002;68,5;3,0;66,1;0,5
01/07/2002;67,1;6,0;66,3;0,3
01/08/2002;60,4;-0,7;66,5;0,3
01/09/2002;69,2;8,1;66,4;-0,2
01/10/2002;68,6;3,6;66,5;0,2
01/11/2002;67,7;4,6;66,4;-0,2
01/12/2002;56,7;7,8;66,5;0,2
01/01/2003;66,7;4,7;66,8;0,5
01/02/2003;66,6;4,1;66,8;0,0
01/03/2003;70,8;3,2;66,8;0,0
01/04/2003;67,5;-2,7;66,7;-0,1
01/05/2003;65,4;-1,2;66,6;-0,1
01/06/2003;67,1;-2,0;66,6;0,0
01/07/2003;68,2;1,6;66,8;0,3
01/08/2003;59,0;-2,3;67,4;0,9
01/09/2003;73,0;5,5;67,8;0,6
01/10/2003;72,2;5,2;68,3;0,7
01/11/2003;68,6;1,3;69,0;1,0
01/12/2003;62,4;10,1;69,4;0,6
01/01/2004;67,0;0,4;70,0;0,9
01/02/2004;68,9;3,5;70,6;0,9
01/03/2004;79,6;12,4;71,2;0,8
01/04/2004;72,6;7,6;71,7;0,7
01/05/2004;69,8;6,7;72,1;0,6
01/06/2004;79,7;18,8;72,4;0,4
01/07/2004;72,2;5,9;72,7;0,4
01/08/2004;67,1;13,7;72,9;0,3
01/09/2004;79,4;8,8;73,1;0,3
01/10/2004;74,6;3,3;73,2;0,1
01/11/2004;75,1;9,5;73,4;0,3
01/12/2004;68,5;9,8;73,7;0,4
01/01/2005;71,6;6,9;73,9;0,3
01/02/2005;71,9;4,4;74,2;0,4
01/03/2005;79,2;-0,5;74,4;0,3
01/04/2005;77,2;6,3;74,7;0,4
01/05/2005;74,1;6,2;75,2;0,7
01/06/2005;83,0;4,1;75,6;0,5
01/07/2005;73,5;1,8;76,2;0,8
01/08/2005;71,7;6,9;76,8;0,8
01/09/2005;83,8;5,5;77,5;0,9
01/10/2005;77,4;3,8;78,2;0,9
01/11/2005;81,5;8,5;78,9;0,9
01/12/2005;72,4;5,7;79,8;1,1
01/01/2006;80,0;11,7;80,6;1,0
01/02/2006;79,0;9,9;81,4;1,0
01/03/2006;92,9;17,3;82,1;0,9
01/04/2006;78,4;1,6;83,0;1,1
01/05/2006;86,4;16,6;83,7;0,8
01/06/2006;89,4;7,7;84,5;1,0
01/07/2006;81,5;10,9;85,3;0,9
01/08/2006;81,9;14,2;85,9;0,7
01/09/2006;90,9;8,5;86,6;0,8
01/10/2006;87,9;13,6;87,3;0,8
01/11/2006;90,1;10,6;87,9;0,7
01/12/2006;77,5;7,0;88,5;0,7
01/01/2007;88,6;10,8;89,1;0,7
01/02/2007;87,5;10,8;89,7;0,7
01/03/2007;98,1;5,6;90,3;0,7
01/04/2007;87,5;11,6;90,7;0,4
01/05/2007;91,0;5,3;91,3;0,7
01/06/2007;97,3;8,8;91,8;0,5
01/07/2007;90,6;11,2;92,2;0,4
01/08/2007;88,3;7,8;92,4;0,2
01/09/2007;94,9;4,4;92,9;0,5
01/10/2007;97,4;10,8;93,2;0,3
01/11/2007;95,9;6,4;93,4;0,2
01/12/2007;79,2;2,2;93,5;0,1
01/01/2008;93,0;5,0;93,8;0,3
01/02/2008;92,6;5,8;94,0;0,2
01/03/2008;93,7;-4,5;94,0;0,0
01/04/2008;97,8;11,8;93,6;-0,4
01/05/2008;91,6;0,7;92,9;-0,7
01/06/2008;97,5;0,2;91,8;-1,2
01/07/2008;92,9;2,5;90,3;-1,6
01/08/2008;83,8;-5,1;88,7;-1,8
01/09/2008;96,4;1,6;86,7;-2,3
01/10/2008;94,2;-3,3;84,6;-2,4
01/11/2008;83,8;-12,6;82,5;-2,5
01/12/2008;69,0;-12,9;80,3;-2,7
01/01/2009;69,0;-25,8;78,3;-2,5
01/02/2009;67,6;-27,0;76,5;-2,3
01/03/2009;75,6;-19,3;75,0;-2,0
01/04/2009;70,3;-28,1;74,0;-1,3
01/05/2009;69,8;-23,8;73,3;-0,9
01/06/2009;76,5;-21,5;73,2;-0,1
01/07/2009;76,3;-17,9;73,3;0,1
01/08/2009;69,1;-17,5;73,8;0,7
01/09/2009;82,2;-14,7;74,7;1,2
01/10/2009;81,3;-13,7;75,8;1,5
01/11/2009;79,0;-5,7;77,2;1,8
01/12/2009;69,2;0,3;78,5;1,7
01/01/2010;74,4;7,8;79,7;1,5
01/02/2010;77,7;14,9;80,9;1,5
01/03/2010;91,9;21,6;81,9;1,2
01/04/2010;82,6;17,5;82,8;1,1
