Volumenindex des Auftragseingangs, Vorleistungsgüter, Inland
Datum;Originalwert, 2021=100;Originalwert, Veränderung gegenüber Vorjahresmonat in %;Trend-Konjunktur-Komponente (BV 4.1), 2021=100;Trend-Konjunktur-Komponente (BV 4.1), Veränderung gegenüber Vormonat in %
01/03/1997;84,5;.;87,6;0,3
01/04/1997;95,5;.;87,9;0,3
01/05/1997;82,6;.;88,0;0,1
01/06/1997;94,2;.;88,6;0,7
01/07/1997;94,9;.;89,0;0,5
01/08/1997;81,2;.;89,3;0,3
01/09/1997;98,7;.;89,6;0,3
01/10/1997;97,7;.;90,0;0,4
01/11/1997;93,0;.;90,5;0,6
01/12/1997;79,0;.;90,6;0,1
01/01/1998;80,9;2,5;90,8;0,2
01/02/1998;83,1;4,8;90,9;0,1
01/03/1998;98,0;16,0;91,0;0,1
01/04/1998;91,5;-4,2;90,9;-0,1
01/05/1998;88,6;7,3;90,8;-0,1
01/06/1998;93,5;-0,7;90,6;-0,2
01/07/1998;96,6;1,8;90,5;-0,1
01/08/1998;84,1;3,6;90,2;-0,3
01/09/1998;98,8;0,1;89,8;-0,4
01/10/1998;97,8;0,1;89,6;-0,2
01/11/1998;93,2;0,2;89,5;-0,1
01/12/1998;76,9;-2,7;89,4;-0,1
01/01/1999;78,8;-2,6;89,4;0,0
01/02/1999;80,4;-3,2;89,4;0,0
01/03/1999;98,6;0,6;89,5;0,1
01/04/1999;90,1;-1,5;89,6;0,1
01/05/1999;86,4;-2,5;89,9;0,3
01/06/1999;96,8;3,5;90,3;0,4
01/07/1999;93,2;-3,5;90,7;0,4
01/08/1999;88,8;5,6;91,0;0,3
01/09/1999;100,8;2,0;91,5;0,5
01/10/1999;97,4;-0,4;91,8;0,3
01/11/1999;99,2;6,4;92,2;0,4
01/12/1999;85,4;11,1;92,7;0,5
01/01/2000;82,4;4,6;92,9;0,2
01/02/2000;90,8;12,9;93,1;0,2
01/03/2000;101,9;3,3;93,5;0,4
01/04/2000;88,0;-2,3;93,9;0,4
01/05/2000;103,0;19,2;94,2;0,3
01/06/2000;93,4;-3,5;94,6;0,4
01/07/2000;93,6;0,4;94,7;0,1
01/08/2000;95,6;7,7;95,0;0,3
01/09/2000;100,2;-0,6;95,2;0,2
01/10/2000;98,9;1,5;95,3;0,1
01/11/2000;101,5;2,3;95,3;0,0
01/12/2000;83,0;-2,8;95,2;-0,1
01/01/2001;89,9;9,1;95,0;-0,2
01/02/2001;88,7;-2,3;94,8;-0,2
01/03/2001;100,5;-1,4;94,4;-0,4
01/04/2001;89,8;2,0;94,0;-0,4
