Verwendung des Bruttoinlandsprodukt, in jeweiligen Preisen
Datum;Bruttoinlandsprodukt, Mrd. EUR;Private Konsumausgaben, Mrd. EUR;Konsumausgaben Staat, Mrd. EUR;Bruttoinvestitionen, Mrd. EUR;Exporte, Mrd. EUR;Importe, Mrd. EUR
01/07/2000;537,70;301,89;100,72;139,96;155,54;160,41
01/10/2000;547,59;314,66;115,35;118,90;173,36;174,68
01/01/2001;536,83;299,09;100,22;129,48;166,04;158,01
01/04/2001;538,24;304,23;100,57;126,71;168,27;161,53
01/07/2001;553,54;310,22;102,58;136,16;164,59;160,02
01/10/2001;566,92;325,25;119,28;107,45;172,06;157,12
01/01/2002;537,18;301,31;102,85;111,55;163,34;141,86
01/04/2002;546,09;306,64;103,70;113,28;174,49;152,00
01/07/2002;567,13;315,74;105,88;124,41;174,03;152,94
01/10/2002;572,96;327,26;121,94;98,81;181,61;156,66
01/01/2003;543,46;307,88;104,08;112,82;169,83;151,15
01/04/2003;547,96;315,59;104,56;108,41;171,44;152,05
01/07/2003;571,48;324,69;108,51;118,86;175,23;155,81
01/10/2003;577,91;334,26;121,41;98,59;184,16;160,51
01/01/2004;558,36;314,42;104,65;107,77;185,68;154,17
01/04/2004;566,57;322,08;105,45;105,21;197,07;163,24
01/07/2004;579,23;328,72;107,47;121,66;192,51;171,13
01/10/2004;588,88;341,00;119,26;101,54;202,88;175,79
01/01/2005;560,71;319,02;104,95;102,77;194,89;160,92
01/04/2005;576,06;331,45;106,82;107,18;207,88;177,26
01/07/2005;589,03;337,62;108,09;118,86;210,71;186,25
01/10/2005;599,91;346,36;120,47;106,92;222,69;196,54
01/01/2006;586,21;328,64;107,99;119,20;224,96;194,58
01/04/2006;594,16;338,72;108,18;117,88;229,46;200,07
01/07/2006;612,83;345,82;109,33;132,45;234,23;209,00
01/10/2006;632,98;356,82;122,25;113,23;256,83;216,15
01/01/2007;621,55;334,06;109,84;136,55;251,27;210,17
01/04/2007;622,79;344,85;110,60;125,53;255,55;213,75
01/07/2007;641,64;352,70;111,50;141,96;258,75;223,27
01/10/2007;656,24;362,76;125,01;124,42;267,51;223,45
01/01/2008;639,52;342,24;113,68;139,27;264,73;220,40
01/04/2008;646,47;354,46;116,03;130,14;273,85;228,01
01/07/2008;653,09;362,54;115,99;147,32;266,88;239,64
01/10/2008;650,20;364,22;129,52;124,09;254,82;222,45
01/01/2009;607,42;341,23;119,98;122,24;215,96;191,99
01/04/2009;608,08;353,93;121,14;103,95;211,84;182,78
01/07/2009;630,83;362,03;123,15;120,79;220,77;195,91
01/10/2009;647,64;369,96;134,52;102,10;235,65;194,59
01/01/2010;629,92;344,83;124,98;126,61;234,72;201,21
01/04/2010;639,11;359,87;123,71;123,42;257,05;224,94
01/07/2010;665,00;372,08;125,54;138,88;263,33;234,82
01/10/2010;681,23;382,16;137,80;121,88;277,80;238,41
01/01/2011;674,29;357,15;127,08;153,39;280,29;243,61
01/04/2011;673,73;373,83;127,59;140,30;284,20;252,17
01/07/2011;695,04;383,49;127,89;156,24;286,85;259,43
01/10/2011;703,85;391,50;140,86;134,26;292,58;255,36
01/01/2012;694,47;372,37;130,43;147,98;298,53;254,83
01/04/2012;685,23;381,47;131,25;129,04;297,34;253,87
01/07/2012;706,00;392,95;131,93;142,95;299,77;261,60
01/10/2012;713,58;399,46;145,27;125,12;299,26;255,53
01/01/2013;697,99;373,80;136,40;145,84;291,62;249,67
01/04/2013;706,10;389,74;136,13;137,39;297,57;254,73
01/07/2013;728,02;402,72;138,20;152,81;299,61;265,32
01/10/2013;734,37;405,48;151,25;131,19;305,96;259,51
01/01/2014;732,98;381,71;141,31;162,60;301,90;254,55
01/04/2014;730,85;395,97;141,86;144,84;306,09;257,92
01/07/2014;754,13;409,92;143,18;156,29;313,43;268,70
01/10/2014;766,51;417,13;157,17;137,32;322,91;268,02
01/01/2015;754,56;390,57;145,97;160,37;319,91;262,26
01/04/2015;756,17;407,62;147,08;139,98;329,51;268,02
01/07/2015;780,41;421,57;148,28;158,42;330,04;277,90
01/10/2015;795,89;430,55;164,61;143,14;335,17;277,57
01/01/2016;781,88;403,30;153,58;167,45;320,69;263,14
01/04/2016;792,67;421,38;154,45;149,25;337,99;270,39
01/07/2016;803,16;431,61;155,19;164,42;329,91;277,96
01/10/2016;817,50;443,06;170,68;148,73;341,76;286,72
01/01/2017;819,94;418,22;159,18;181,37;347,36;286,19
01/04/2017;815,56;434,81;159,90;161,93;350,21;291,30
01/07/2017;839,24;445,98;160,71;179,32;348,96;295,72
01/10/2017;858,37;454,77;178,20;167,03;360,14;301,77
01/01/2018;846,16;431,57;165,11;189,72;360,76;300,99
01/04/2018;847,76;447,59;165,96;173,92;368,14;307,84
01/07/2018;857,75;458,43;166,03;196,34;360,06;323,11
01/10/2018;882,36;470,91;183,43;183,50;370,40;325,89
01/01/2019;873,73;442,74;173,35;201,96;374,63;318,94
01/04/2019;866,25;462,56;173,80;178,83;370,11;319,04
01/07/2019;892,54;477,15;176,76;194,38;374,21;329,96
01/10/2019;904,76;482,67;193,60;181,15;378,75;331,41
01/01/2020;881,34;439,48;184,25;208,51;364,74;315,62
01/04/2020;795,17;402,52;186,80;173,72;284,95;252,82
01/07/2020;871,27;452,24;190,10;183,10;335,10;289,27
01/10/2020;902,94;454,53;207,90;184,48;365,13;309,10
01/01/2021;887,59;421,96;195,51;212,09;368,87;310,84
01/04/2021;896,18;443,56;200,25;198,64;381,73;328,00
01/07/2021;932,31;477,90;200,89;214,27;385,39;346,13
01/10/2021;966,26;498,26;220,57;209,90;429,74;392,22
01/01/2022;973,14;490,79;212,69;229,57;434,86;394,78
01/04/2022;976,13;516,02;212,17;224,04;448,28;424,38
01/07/2022;1002,38;536,12;210,87;246,78;463,07;454,45
01/10/2022;1037,74;551,10;232,49;228,18;474,09;448,11
01/01/2023;1043,52;534,25;217,83;245,38;462,55;416,49
01/04/2023;1031,88;551,28;219,19;225,16;447,96;411,71
01/07/2023;1055,50;560,83;222,15;237,67;440,90;406,04
01/10/2023;1088,41;572,16;246,03;219,81;461,51;411,09
01/01/2024;1071,63;550,10;227,68;234,46;448,13;388,73
01/04/2024;1063,85;564,75;232,24;219,57;455,28;408,00
01/07/2024;1083,07;577,95;235,14;240,72;444,01;414,75
01/10/2024;1110,42;590,17;256,72;235,96;446,25;418,67
01/01/2025;1101,22;570,19;242,55;246,46;453,36;411,35
01/04/2025;1095,64;588,81;245,18;233,03;451,97;423,35
01/07/2025;1120,32;602,53;246,86;256,02;445,90;430,98
01/10/2025;1152,73;616,32;271,80;244,81;456,17;436,37
