Verwendung des Bruttoinlandsprodukt, preisbereinigt
Datum;Bruttoinlandsprodukt, Kettenindex (2020=100);Private Konsumausgaben, Kettenindex (2020=100);Konsumausgaben Staat, Kettenindex (2020=100);Bruttoinvestitionen, Kettenindex (2020=100);Exporte, Kettenindex (2020=100);Importe, Kettenindex (2020=100)
01/07/2000;81,91;88,63;68,40;99,10;50,38;56,31
01/10/2000;82,73;92,09;72,40;86,28;55,81;60,49
01/01/2001;81,75;86,83;68,67;93,66;53,76;55,64
01/04/2001;81,74;87,80;68,72;92,16;54,29;56,71
01/07/2001;83,05;89,22;68,54;96,35;53,13;56,06
01/10/2001;83,90;93,32;72,94;79,92;55,88;56,27
01/01/2002;80,27;85,81;69,09;80,81;53,21;51,19
01/04/2002;81,73;87,18;69,58;82,81;56,72;54,52
01/07/2002;83,70;89,38;69,86;87,79;56,66;55,07
01/10/2002;83,99;92,80;74,18;74,00;59,16;56,91
01/01/2003;80,03;85,93;69,64;81,46;55,45;55,00
01/04/2003;80,78;88,20;69,92;79,66;56,01;55,94
01/07/2003;83,20;90,47;70,63;84,90;57,43;57,49
01/10/2003;83,91;93,21;74,35;75,25;60,57;60,00
01/01/2004;81,40;87,18;69,94;76,79;61,35;57,59
01/04/2004;82,34;88,84;69,93;74,96;64,58;60,13
01/07/2004;83,40;90,32;70,44;83,87;62,82;62,21
01/10/2004;84,62;93,74;72,64;74,78;66,25;64,20
01/01/2005;81,01;87,09;69,73;71,98;63,67;58,45
01/04/2005;83,40;90,50;70,73;76,35;67,55;64,12
01/07/2005;84,55;91,71;70,57;81,41;68,36;66,24
01/10/2005;85,74;94,04;73,53;76,92;72,14;69,93
01/01/2006;84,51;88,66;71,10;83,53;72,70;68,49
01/04/2006;85,67;91,15;70,93;83,25;73,75;69,79
01/07/2006;87,53;92,86;71,53;89,09;75,20;72,31
01/10/2006;89,90;95,86;74,52;80,44;82,52;75,69
01/01/2007;87,91;88,79;72,51;91,41;80,59;73,66
01/04/2007;88,22;91,22;72,50;85,95;81,52;74,32
01/07/2007;89,90;92,89;72,61;93,86;82,54;77,53
01/10/2007;91,63;95,08;75,84;87,15;85,54;77,81
01/01/2008;89,51;88,99;74,75;92,23;84,19;75,50
01/04/2008;90,73;91,70;75,73;88,02;86,51;76,95
01/07/2008;90,72;93,17;75,45;95,02;83,84;79,45
01/10/2008;89,86;94,36;78,67;85,15;80,77;76,49
01/01/2009;83,54;88,71;77,52;80,01;69,60;69,29
01/04/2009;83,76;91,71;77,42;68,96;68,98;66,35
01/07/2009;85,88;93,55;78,18;77,01;71,70;71,01
01/10/2009;87,63;95,57;80,63;67,11;76,39;70,69
01/01/2010;85,74;88,47;79,55;81,24;75,75;72,06
01/04/2010;87,69;91,73;78,10;83,14;81,51;78,10
01/07/2010;89,88;94,49;79,22;87,31;82,59;80,33
01/10/2010;91,62;96,94;81,95;79,17;87,29;81,45
01/01/2011;91,01;89,78;80,02;96,20;86,78;80,77
01/04/2011;91,06;93,36;79,45;89,70;87,76;82,81
01/07/2011;92,75;95,52;79,76;95,52;88,29;85,28
01/10/2011;93,49;97,46;82,74;84,72;90,19;83,98
01/01/2012;92,56;92,12;81,08;91,28;90,92;82,54
01/04/2012;91,39;94,15;80,39;81,78;90,05;81,80
01/07/2012;92,79;96,49;80,96;85,81;90,54;84,39
01/10/2012;93,44;97,91;83,66;79,16;90,67;82,77
01/01/2013;91,04;91,08;82,71;87,38;88,59;81,23
01/04/2013;92,31;94,79;81,47;85,77;90,43;83,44
01/07/2013;94,01;97,41;82,29;91,33;91,37;87,09
01/10/2013;94,51;98,12;84,88;82,20;93,52;85,72
01/01/2014;94,02;91,98;83,66;96,46;92,32;84,29
01/04/2014;93,50;95,29;82,97;86,90;93,50;85,84
01/07/2014;95,71;98,17;83,73;91,44;95,52;89,18
01/10/2014;96,98;100,20;86,91;84,71;98,37;89,95
01/01/2015;95,28;94,43;85,78;93,57;97,21;89,37
01/04/2015;95,08;97,22;85,08;82,95;99,33;89,75
01/07/2015;97,43;100,25;86,00;91,60;99,71;93,56
01/10/2015;99,15;103,19;90,09;86,74;102,03;95,36
01/01/2016;97,39;97,13;89,60;96,43;98,39;92,71
01/04/2016;98,45;100,40;89,05;86,79;103,53;94,38
01/07/2016;99,33;102,12;89,44;94,97;100,67;96,17
01/10/2016;100,65;105,24;92,77;89,23;103,64;99,01
01/01/2017;101,03;99,28;91,24;102,47;104,31;96,96
01/04/2017;100,00;102,16;90,34;93,05;104,84;98,52
01/07/2017;102,20;103,89;90,70;102,32;104,85;100,61
01/10/2017;104,04;106,74;94,31;97,71;107,97;102,64
01/01/2018;102,67;101,27;92,45;105,10;107,99;101,76
01/04/2018;102,24;103,77;91,64;96,90;109,51;102,96
01/07/2018;102,81;105,23;91,53;108,33;106,25;106,49
01/10/2018;104,62;108,83;94,76;102,02;109,04;108,07
01/01/2019;104,03;102,86;94,77;108,49;110,75;106,81
01/04/2019;102,44;105,64;93,65;96,90;109,40;106,17
01/07/2019;104,99;108,23;95,09;105,86;110,35;110,13
01/10/2019;105,35;110,27;97,70;99,85;111,31;111,17
01/01/2020;102,57;100,31;98,39;109,35;107,65;106,50
01/04/2020;91,46;91,53;96,92;93,02;84,72;88,34
01/07/2020;101,70;103,74;101,22;97,38;99,64;99,45
01/10/2020;104,27;104,42;103,47;100,25;107,98;105,71
01/01/2021;101,91;95,11;101,59;111,82;107,80;104,44
01/04/2021;102,46;98,95;103,06;104,36;109,06;106,29
01/07/2021;104,62;105,39;102,79;105,87;107,11;108,24
01/10/2021;106,85;109,10;105,06;103,25;116,72;118,14
01/01/2022;106,04;105,53;104,99;105,92;114,25;113,85
01/04/2022;104,08;108,11;103,52;98,18;113,05;116,06
01/07/2022;106,36;109,81;101,29;112,11;113,72;120,08
01/10/2022;107,13;110,98;104,11;106,53;117,27;121,90
01/01/2023;105,84;105,99;102,16;108,15;116,11;117,00
01/04/2023;102,72;107,82;100,66;99,40;111,94;116,93
01/07/2023;104,89;108,51;101,44;107,36;110,75;116,17
01/10/2023;105,85;111,20;104,79;95,48;115,37;117,13
01/01/2024;105,09;107,09;104,65;100,23;111,82;112,19
01/04/2024;103,03;108,49;104,90;91,31;113,08;116,03
01/07/2024;105,23;110,00;106,21;104,78;109,92;117,74
01/10/2024;105,98;113,89;109,38;94,46;111,50;118,56
01/01/2025;105,19;108,42;107,04;101,77;111,58;116,06
01/04/2025;103,06;110,08;106,31;96,48;110,25;119,36
01/07/2025;105,56;111,07;107,33;108,29;108,93;120,42
01/10/2025;106,48;115,66;111,79;95,79;111,32;121,94
01/01/2026;106,05;108,95;111,06;102,38;112,14;117,89
01/04/2026;104,11;110,23;109,46;95,23;114,38;122,40
